Unnamed: 0,Greek Entry,Entry,Definition
775,ἀγκολη,"אוּנְקְלַי, "," אָנְקְלַי f. (אנק, with ל format. ; = אוּנְקַי; corresp. to b. h. לוּלַי; Greek adapt. ἀγκολη, LXX Ex. XXVI, 10; cmp. אוֹנִי as to contact of the two languages) prop. little (camel’s) neck, hence 1)hook, rack.  Kel. XII, 2 א' של כתפין Ar. (ed. אונקליות, אונקלין with adject. in the sing., corr. acc.) the carriers’ hook attached to their yoke, pole &c. Ib. א' של דרגש the hook of the bedstead (used for fastening the girths to the posts); של נקליטין the rack of the bed-curtain, v. נַקְלִיטִין. Ib. 3 א' שבכותלים hook attached to walls.—T’bul Yom IV, 6 ואנ' שלהם קיימת and the hook (attached to the now broken yoke) remained unimpaired; a. fr.—Pl. אוּנְקְלָאוֹת, אָנְקְ', (אונקלין) אוּנְקְלִיּוֹת. Tam. III, 5; Mid. III, 5; a. fr.—Kel. l. c.; Tosef. ib. B. Mets. II, 4; v. אוּנְקַי.—2) [cmp. ἀγκαλίς in S.] the load carried on the hook, the farmer’s load of sheaves or bunches; cmp. בלונקי.  Tosef. Maas. Sh. IV, 10. כל הא' the whole load. [Ib. 11 אונקולין, אונקלי, read with ed. Zuck. אינפולי].—3) Trnsf. (medic.) bent cartilage, esp. the cartilage (cart. ensiformis) at the end of the sternum which, being bent inside, presses on the stomach and creates nausea &c. Ab. Zar. 29a מעלין א' וכ' you are permitted to lift the cartilage on the Sabbath (by means of a bandage &c.).  Ib. מאי א' וכ' what unklay is meant? Ans. the cartilage in front of the heart; v. אִיסְתּוֹמְכָא. | "
21014,ἄγκος (ankos),עְֹגֶן,"anchor.  [From Talmudic הוֹגִין, עוֹגִין, which is prob. borrowed from Gk. onkinos (= hook), from onkos (of s.m.), which stands in gradational relationship to Gk. ankos (= a bend, hollow), ankon (= bend of the arm, elbow), ankulos (= crooked, curved), ankula (= anchor). See אוּנְקָל.  | "
279,ἀγορά,"אֲגֹורָא, "," (ἀγορά) market-place, court-session, court. Pl. אֲגֹורָאֹות Git. 88b א' של נכרים (ed. אגוריאות corr. acc.) gentile courts. | "
343,ἀγοράνομος,אֲגַרְדְּמִיס," (freq. אגרדמים) m. (a corrupt. of ἀγοράνομος, v. אַגְרוֹנִימוֹס) agoranomos, corresponding to the Roman ædilis, market commissioner, gauger, &c. Ab. Zar. 58a א' נכרי (כותי, Ms. V. גוי א') a gentile agoran. —B. Kam. 98a א' טייעא an Arabian agoran.—B. Bath. 89a מעמידין א' וכ' Ar. (ed. מִין—plur.) an agoran. may be appointed for superintending measures, but not for fixing the prices.—Pl. אֲגַרְדְּמִין B. Bath. l. c. (v. supra). [Pesik. Asser p. 96a לא' שיצא (sing.) Ar. (ed. להגרונימוס read לא', cmp. Yalk. Ps. 729).]—אֲגַרְדִּימִים Sifra K’doshim ch. VIII; cmp. Y. B. Bath. V, 15a bot. [Oth. corrupt. v. Pesik. l. c. note.] | "
349,ἀγοράνομος,אַגְרוֹנִימוֹס," (corr. אַגְרוֹנוֹ'), contr. אַנְגַּרְמוֹס m. (ἀγοράνομος) agoranomos, market-commissioner; v. אֲגַרְדְּמִיס a. אַגְרוֹמֵי.  Y. Dem. II, 22c top שהיה א' גדול the agor. was an influential man. Y. Ab. Zar. IV, 44b top. Lev. R. s. 1 אגרונימון (corr. acc.). Y. B. Bath. V, 15a bot. אנג' (twice); a. fr. | "
22844,ἄγρα (agra),פֶלַּגְרָה,"pellagra (disease).  [It. pellagra, a hybrid coined from L. pellis (= skin), and Gk. agra (= a catching, seizure). For the first element see פִילְם, for the second element see פּוֹדַגְרָה.] | "
362,ἄγραφος,*אַגְרָפוֹס," (ἄγραφος) unwritten.  Y. R. Hash. I, 57a bot. פרא בסיליאוס נומס א', cmp. Ar. h. v., a. s. v. בסיליאוס (ed. או נומוס או גריפיס) παρὰ βασιλέως ὁ νόμος ἄγραφος, for the king the law is unwritten (i.e. the king may disregard his own law). Lev. R. s. 35, beg. quot. in Ar. (missing in ed.). | "
362,ἄγραφος,*אַגְרָפוֹס," (ἄγραφος) unwritten.  Y. R. Hash. I, 57a bot. פרא בסיליאוס נומס א', cmp. Ar. h. v., a. s. v. בסיליאוס (ed. או נומוס או גריפיס) παρὰ βασιλέως ὁ νόμος ἄγραφος, for the king the law is unwritten (i.e. the king may disregard his own law). Lev. R. s. 35, beg. quot. in Ar. (missing in ed.). | "
22320,ἀγρέειν (agreein),פּוֹדַגְרָה,"podagra.  [Gk. podagra (= trap for the feet, gout in the feet), compounded of pous, gen. podos (= foot), and agra (= a catching, seizure). For the first element see פֵּדָר. The second element is related to Gk. agreein (= to take, catch), and cogn. with Old I. ār (= defeat). cp. the second element in פֶּלַגְרָה.] | "
353,ἄγριος,"אַגְרִיאוֹן,  אַגְרִיּוֹן"," (ἄγριος, neut.  or. acc.) wild (opp. אִימִירוֹן q. v.); rough. Gen. R. s. 77; Cant. R. to III, 6 כלב א'. Num. R. s. 11 (refer. to Gen. III, 8) שומע הקול א' after sinning, Adam heard the divine voice as a harsh one. Cant. R. to III, 7 (corr. acc.). Pesik. R. s. 15 בזעף א' וכ' … (leave out hebr. words as glosses to explain the Greek). | "
356,ἀγρίππας,אַגְרִיפַּס," (Ἀγρίππας) Agrippa, 1) the last but one Herodian king of Judæa. Sot. VII, 8. , 1)  the last but one Herodian king of Judæa. Sot. VII, 8. Lev. R. s. 3; a. fr.—2) a captain of the former.—Ab. Zar. 55a אגריפא שר צבא של א' Ms. M. (v. Rashi a. l. a. Rabb. D. S. a. l. note). | "
236,ἀγρονόμοσ (agronomos),אַגְרוֹנוֹם,"agronomist.  [Gk. agronomos (= rural), compounded of agros (= field) and nomos, from the stem of nemein (= to assign, manage; to drive cattle, to pasture). The first element is cogn. with L. ager (= field, land); see אַקֽר. For the second element see ‘nemesis’ in my CEDEL.]  | "
237,ἀγρονόμοσ (agronomos),אַגְרוֹנוֹמוֹן,", agoranome, superintendent of the market.  [Gk. agronomos, compounded of agora (= market) and nomos, from the stem of nemein (= to assign, manage). cp. אַגְרֶגָט and אַגְרוֹנוֹם.] | "
239,ἀγρονόμοσ (agronomos),אַגְרוֹנוֹמְיָה,"agronomy.  [Fren. agronomie, from Gk. agronomos. See אַגֽרוֹנוֹם.] | "
243,ἀγρόσ (agros),אַגְרוֹפִּירוֹן,"agropyron (botany).  [Modern L. Agropyron (lit.: ‘field wheat’), from Gk. agros (= field), and pyros (= corn, wheat).] | "
256,ἀγρόσ (agros),אַגְרָרִי,"agrarian.  [Ultimately, from L. agrārius (= pertaining to land), from ager (= field, land), which is cogn. with Gk. agros (= field). See אַקֽר.] | "
1513,ἀγχόνη (agchone),אַנְגִּינָה," angina (disease).  [L. angina (= quinsy), prob. a loan word from Gk. agchone (= a throttling, strangling, hanging), which derives from agchein (= to squeeze, esp. the throat, strangle, throttle, hang), a derivative of IE base *anĝh (= to narrow, compress). The form angina (instead of ancina) is due to the influence of the related angere (= press together, throttle). See ‘anger’ in my CEDEL.] | "
265,ἄγω,אֲגוֹמֵין," (ἄγωμεν, fr. ἄγω) up! come on! Gen. R. s. 78.  | "
265,ἄγωμεν,אֲגוֹמֵין," (ἄγωμεν, fr. ἄγω) up! come on! Gen. R. s. 78.  | "
266,ἀγών,אָגוֹן," (ἀγών) assembly, esp. public games.  Y’lamd. Emor (quot. in Ar, missing in Tanh.) א' נעשה במדינה. | "
6907,ἀγών,"דִּימוֹס, "," (δῆμος)  1)people (populus).  Gen. R. s. 6; Ex. R. s. 15, v. בּוּלִי II.—2)popular gathering, public festival with games (δημοτικὸς ἀγών) given by Emperors or high officials and connected with amnesty; in gen. amnesty, pardon.  Y. Ber. IX, 14b when the king נותן ד' grants a general pardon, opp. ספיקולה.—Kidd. 63a עשה כד' הזה act as was done in that public game (Ar. דְּרוֹמוֹס).—Lev. R. s. 29, a. fr. יצא בד' he was pardoned. Gen. R. s. 79 when he heard a divine voice say ד' ד' demos, demos (pardon), the bird escaped, opp. ספיקולא; Y. Shebi. IX, 38d top; Pesik. B’shall. p. 88b דיניס (corr. acc.); a. fr.—[Ex. R. s. 2, beg. ינתן בד', v. דִּימוֹסִין.—Gen. R. s. 8 דִּימוֹסָהּ, v. דִּימוֹסְיָא.]—Pl. דִּימוֹסִיןpublic games. Cant. R. to VII, 12 נטייל בד' וכ' let us take a walk among (observe) the amusements of the world. | "
12226,ἀγωρά,"*,  *יְהוּדָאִיקִי"," (Ἰουδαική, sub. συναγωγή or ἀγωρά) Jewish court-house.  Y. Gitt. I, 43b top במקום י' in the Jewish meeting place (where Jews have their own jurisdiction); אם אין שם י' וכ' if there is no Jewish courthouse there, it must be done in the synagogue. | "
460,ἀδρίας,אַדְרִיאַס, (Ἀδρίας) Adriatic Sea.  Tanḥ. B’resh. 7 בין א' לאוקיינוס between the Adriatic Sea and the Mediterranean. | 
25072,ἀείδειν (aeidein),קוֹמֶדְיָה,"comedy.  [L. cōmoedia, from Gk. komodia (= comedy), from komodos (= comic actor; orig. ‘singer in the komos or comic chorus’), contraction of komaoidos, which is compounded of komos (= revel, carousing, merrymaking, comic chorus), and aoidos (= singer). The first element is of uncertain origin. cp. קוֹמִי and אֲפִיקוֹמָן. The second element is related to Gk. aeidein (= to sing), aoide, ode (= song); see אוֹדָה.] | "
15679,αέρα (aera),מָלַרְיָה,"malaria.  [It. mal’aria, contraction of mala aria (= bad air), from mala, f. of malo, from L. malus (= bad), and aria, from Gk. aera, accusative of Gk. aer (= air). L. malus is of uncertain etymology. Gk. aer and the related ayra (= air in motion, breeze), are of uncertain origin. cp. אַרְיָה. cp. also ‘malaria’ in my CEDEL.] | "
5411,ἀζαραπατεῖς,"גְּזִירִיפַּטֵּי,  גְּזִירְפַּטֵּי"," (ἀζαραπατεῖς, Pers.  hazâr paiti; v. Perl. Et. St. p. 118, a. authorities quot. ib.) name of a class of oppressive Persian officers (chiliarchi). Taan. 20a. Snh. 98a; Sabb. 139a. [Ar. גאזי דפטי, גזי דפ'; Var. גזיר פ', גזיר דפ', גרז דיפטי, גיזרפטי, גוזרפ' &c., v. Rabb. D. S. a. l. c.] | "
634,ἀήρ,"אָוִיר,  אֲוִיר"," (אור; cmp. רוּחַ a. רֶוַח); space corresp. to חָלָל, esp.  1)open, empty space, blank.  Ohol. IV, 1 a tower שעומד בא' standing isolated. Ib. XVIII, 10 אוירָהּ של חצר the open space in the court-yard.—B. Bath. 163a—2) (cmp. b. h. מְאוּרָה) hollow, cavity of a vessel.  Kel. II, 1 מיתטמאין ומטמאין בא' become unclean and make unclean by contact with the hollow (of the vessel).—Yeb. 67b נפק לא' העולם came forth into the lighted space of the world, i.e. was born; a. fr.—3) (cmp. ἀήρ, aër) air, atmosphere, climate, weather.  Num. R. s. 14 הא' שממנו וכ' (as one of the elements of nature) out of which the wind was made.—Gen. R. s. 34 א' יפה fine weather; a. fr.—Pl. אֲוִירִיןblank spaces in writings. B. Bath. 163a.—אֲוִירוֹת climates. Gen. R. s. 34 ברית נחלקה לא' a covenant has been made in favor of climates, i.e. God has implanted in man a love of his native soil even in bad climates. | "
440,ἀήρ (aer),אֲוִיר,"air.  [From Gk. aer (= air), of uncertain origin.] See ‘air’ (atmosphere) in my CEDEL and cp. words there referred to. cp. אֲוִירִיָּה, אֲוִירִיּוּת, אורר, אִוֵּר, אֲוִירַאי, אֲוִירָה, אֲוִירוֹן, אֲוִירִי.] | "
1034,ἀήρ (aer),אֵירוֹבָּטִיקָה,"aerobatics.  [Eng. aerobatics, coined on the analogy of aerobatics from Gk. aer (= air), and the stem of bainein (= to go). See אֲוִיר and אַקְרוֹבָּט.] | "
2132,ἀήρ (aer),אַרְיָה,"aria (music).  [It. aria (= air, melody), from L. āērea, f. of the adj. āēreus (= pertaining to air), from āēr (= air), which derives from Gk. aer (= air), which is of uncertain origin. cp. the second element in מָלָרְיָה. cp. also ‘air’ (atmosphere) and ‘air’ (melody) in my CEDEL.] | "
15679,ἀήρ (aer),מָלַרְיָה,"malaria.  [It. mal’aria, contraction of mala aria (= bad air), from mala, f. of malo, from L. malus (= bad), and aria, from Gk. aera, accusative of Gk. aer (= air). L. malus is of uncertain etymology. Gk. aer and the related ayra (= air in motion, breeze), are of uncertain origin. cp. אַרְיָה. cp. also ‘malaria’ in my CEDEL.] | "
3399,ἀθανασία,"אֲתָאנַסְיָא,  אַתְנַסְיָיא,  אַתָּנָסָיאָה"," (ἀθανασία) immortality.  Cant. R. to I, 3 (referr. to על־מות, Ps. XLVIII, 15) תרגם עק' א' וכ' Aquila translates it athanasia (אל־מות), a world in which there is no death; Y. Meg. II, 73b אתא נסיא (combine into one w.); Y. M. Kat. III, 83b bot. Ar. (ed. אתנא סירא corr. acc.); Lev. R. s. 11, end (ed. incorr. transp.). | "
2354,ἄθεος (atheos),אַתֵּיאִיזְם,"atheism.  [Fren. athéisme, formed with suff. - isme (see □ִיזֽם) from Gk. atheos (= without god), from privative pref. a- and theos (= god). See תֵּיאִיזְם.] | "
3417,ἀθῆναι,"אַתִּינָס,  אַתּוּנָא אַתִּינָה"," (Ἀθῆναι, acc. —ας) Athens, the capital of Attica; in Talm. liter. freq. mentioned for wisdom and wit. Bekh. 8b סבי דבי אתו' the elders (sages) of the Athenian school. Lam. R. to I, 1, s. v. Rabbathi, freq. אתינה a. אתינס. | "
3422,ἀθλήτης,אַתְלִיטֵיס," (ἀθλήτης) athlete, prize-fighter.  Gen. R. s. 77 לא' (Ar. Var. להַ').—Pl. אַתְלִיטִין. Ib. s. 22.—אַתְלִיטִים Ex. R. s. 21, end. Y’lamd. Emor (quot. in Ar.) תוקעין תחלה ואח""כ האתליטין נכנסין first the trumpet is blown (signal), and then the fighters enter (metaphor of the sounding of the Shofar on the New Year, conquest of sin on the Day of Atonement, and carrying the palm on Succoth; v. בָּאיָין). | "
2362,ἀθλητήσ (athletes),אַתְלֵט,"athlete.  [L. athlēta, from Gk. athletes (= combatant, champion), from athleo (= I contend for a prize), from athlos, contracted from aethlos. The first element of this word is perhaps cogn. with Old I. vā́-yati (= he fatigues himself); the second element is of unknown origin.]  | "
2364,ἀθλητικόσ (athletikos),אַתְלֵטִיקָה,"athletics.  [From L. athlēticus, from Gk. athletikos (= athletic), from athletes. See אַתְלֵט.] | "
1742,ἀθνίας,"*אכספטיאס,  אכספטייס",", Ḥull.  66b, Ab. Zar. 39a אקונס ואפונס … וא' (v. Var. lect. Rabb. D. S. a. l.), Tosef. Ḥull. III (IV), 27 קולייס ופולמוס כספתיאס אכנס וכ', restore (א)קולייס ופילמוס (א)כסיפיאס (כסיפייס) ואתניאס (ואתנייס) וכ' κολίας, πήλαμυς, ξίφιας, ἀθνίας, names of fishes (v. Greek Dict.) Colias, Pelamys, Xiphias, Athnias and Thunny; v. אֲטוּנָס. | "
2176,Αἰγαίων (Aigaion),אַרְכִיפֶּלָג,"archipelago.  [It. arcipelago (lit.: ‘the chief sea’), compounded of arci– (= chief), from Gk. archi (= see אַרְכִי□), and pelagos (= sea). In ancient and mediaeval Greek the word archipelagos does not occur, in modern Greek it is an Italian loan word. The fact that archipelago orig. denoted the Aegean Sea may help us find the origin of this word, which is a real crux etymologorum. It. arcipelago very prob. arose a mistaking of Gk. Aigaion pelagos (= the Aegean Sea) for archipelagos (= the chief sea), a confusion suggested by the numerous Gk. words beginning with archi–.] | "
1143,αἰγεία,אִיגִיאָה," (αἰγεία, sub. δορά) goat-skin.  Gen. R. s. 20, end. | "
5649,αἰγύπτιος,גִּיפְטִי," (Αἰγύπτιος) Epyptian, Coptic. —Pl. גִּיפְטִים. Meg. 18a גיפטית לג' (Ar. גפתית לגפתים) to Egyptian Jews &c.—Fem. גִּיפְטִית in Egyptian or Coptic language. Ib.—Sabb. 115a. Ib.b תנא דג' the author of the rule concerning sacred writings in Egyptian &c. (ib.a). Cmp. גִּיוָוטָאֵי. | "
205,Αἴγυπτοσ (Aigyptos),אֶגִיפְּטוֹלוֹגְיָה,"Egyptology.  [Compounded of Gk. Aigyptos (= Egypt), and logia (see □לוֹגְיָה).  | "
2382,αἰθήρ (aither),אֶתֶר,"ether.  [L. aether, from Gk. aither (= the upper, purer air), which, together with aithra (= the clean sky, fair weather), derives from aithein (= to burn). This verb derives from IE base *aidh- (= to burn), whence also L. aedēs (= a building sanctuary, temple). See ‘edify’ in my CEDEL and cp. words there referred to.]  | "
6433,αἷμα (haima),הֶמוֹגְלוֹבִּין,"hemoglobin.  [Ger. Haemoglobin, shortened by the German chemist Ernst Felix Immanuel Hoppe-Seyler (1825–95) from earlier Haemotoglobulin, from Gk. haima, gen. haimatos (= blood), and L. globulus (= a little ball).] | "
1755,αἰσθητικόσ (aisthetikos),אֶסְתֵּטִי,"esthetic.  [Gk. aisthetikos (= perceptive), from aisthetos (= sensible, perceptible), verbal adj. of aisthaesthai (= to perceive), related to aio (= I hear; lit. ‘I perceive by the ear’), from IE base *awēi- (= to perceive). See אוֹדֽיוֹמֶטֶר and cp. אֲנֶסְתֶּסְיָה.] | "
787,αἰτιολογία (aitiologia),אֶטְיוֹלוֹגְיָה,"etiology.  [Late L. aetiologia, from Gk. aitiologia (= an inquiring into causes), from aitiologein (= to inquire into causes), from aitia (= cause), and logia (see □לוֹגְיָה.] | "
1981,Ἀκαδήμεια (Akademeia),אֲקָדֶמְיָה,"academy.  [L. acadēmia, from Gk. Akademeia, from earlier Ekademeia (= the Academy), a gymnasium near Athens where Plato taught. Akademeia orig. meant ‘the olive grove of Academus’.] | "
2938,ἀκακία,*אֲקַקְיָא," (ἀκακία) the thorny acacia.  Gitt. 69b Ar. (ed. אקיקא, corr. acc.). | "
25232,ἄκανθοσ (akanthos),קוֹצִיץ,"acanthus (botany).  [Formed from קוֹץ through reduplication of the צ, hence properly loan translation of Gk. akanthos, which is related to akanta (= thorn).] | "
2895,ἀκκούβιτον,"*אַקּוּבִּיטוֹן,  אַקְקוּבְטוֹן",", m. (accubitum, ἀκκούβιτον) dining couch of the Roman nobility of the imperial period in place of the older triclinium.  Lev. R. s. 7 מיסב על א' וכ' (Pesik. Eth. Korb. p. 61a הקוביטין; Yalk. Num. 777 איק'; ib. Lev. 479 קוב', קנב'; ib. Ps. 791 הננ' &c., corr. acc.; Pesik. R. s. 16, p. 83b ed. Fr. הקובטין) reclining on his accubitum.—לחם א', or ריפתא (ד)א' bread used at the meals of the nobility, fine bread. Targ. Y. II Gen. XL, 16 ריפתא קקבטון (read ריפתא דאקקובטון) bread of the nobles (h. text חרי). Pesik. R. l. c. p. 82a (ref. to לחם הפחה Neh. V, 18) הקקבטין sub. לחם; Pesik. l. c. p. 59a קקבטון (corr. acc.). | "
1991,ἀκουστόσ (akoustos),אֲקוּסְטִי,acoustic.  [Gk. akoustos. See אֲקוּסְטִיקָה and suff. □ִי.] | 
2939,ἄκρα,אַקְרָא," (dialect. for חַקְרָא in Yer.  dial. q. v.; cmp. var. lect. bel.) fort, designation of various, mostly Babyl. places. Meg. 6a א' דתולבקני (Ms. Oxf., L., F. עקרא; v. Rabb. D. S. a. l. note); Kidd. 71b, v. תולבקני. [Rashi: fortified ford.] B. Bath. 127a, Kidd. 72a, v. אַגְמָא. B. Mets. 86a מא' לאגמא from Fort (Agma) to Agma (Var. lect. v. Rabb. D. S. a. l.). B. Bath. 73b, v. הגרוניא. Macc. 10a, v. סְלִיקוֹס; a. fr. [The Gr. ἄκρα, orig. summit, is a phonetic coincidence.] | "
2036,ἄκρα (akra),אַקְרָה,"fortress, citadel.  [A loan word from Gk. akra (= end, point; esp.: the highest point, top of a hill, peak; citadel), properly subst. use of the f. of the adj. akros (= at the end, at the top, outermost), from ake (= edge), which is cogn. with L. ācer (= sharp). See ‘acrid’ in my CEDEL. cp. אַקְרוֹבָּט, אַקְרוֹבָּטִיקָה. cp. also אֲצֶטוֹן. | "
2037,ἀκρόβατοσ (akrobatos),אַקְרוֹבָּט,"acrobat.  [Fren. acrobate, from Gk. akrobatos (= walking on tiptoe), from akros (= at the end, outermost, highest), and bat (= going), from the stem of bainein (= to go, walk). See בָּסִיס and cp. the second element in אֵירוֹבָּטִיקָה.] | "
2038,ἀκροστιχίσ (akrostichis),אַקְרוֹסְטִיכוֹן,"acrostic.  [Gk. akrostichis, compounded of akros (= at the end, outermost; see אַקְרָה), and stichos (= row, line, rank, verse), which is related to steichein (= to go; to march in order). These words derive from IE base *stī̆gh– (= to stride, step, walk, climb). cp. the second element in קָדַסְטֶר.] | "
1289,ἀλέξανδρος,"*אִילִיאֹוס,  אִילְיֹוס"," (ἥλιος) Sun.  Ex. R. s. 15. [The words from סנדריאוס to אורח are a marginal gloss, prob. to be emended: (אלכ) סנדרוס איוס איליאו היה שמו והשמש וכ' Ἀλέξανδρος ὑιὸς Ἡλίου (Alexander the son of Helios) was his name, and the Sun is called a hero &c.] | "
