Dictionary ID,Greek Entry,Entry,Definition
Jastrow 168,ἐβένινος,*אַבְלִינָא,"(ἐβέλινος = ἐβένινος S.) ebony-wood.  Y’lamd. B’haal. מטות של א' (quot. in Ar., Tanḥ. a. Num. R. s. 14 only … מנורות) couches of ebony wood. [Jellin. Beth Hammidr. VI, 88, Nr. 53 אבליגא.]"
Jastrow 170,Εὔμουσος,אֶבְמוֹסוֹס,"(Εὔμουσος) Eumusus.  Y. Meg. III, 74a bot., rendered in a secret letter טוב למד well-learned; v. אֶבְדּוֹקוֹס."
Jastrow 171,Εὔμαχος,אֶבְמָכוֹס,"(Εὔμαχος) Eumachus, an Amora.  Y. Snh. III, end, 21d"
Jastrow 182,ἀβάσκαντα,אֲבַסְקַנְטָה,"(ἀβάσκαντα) unbewitched! may no harm befall you! Y. Ab. Zar. I, end, 40b א' לא אמר he did not say abascanta, but etc. Y. Ber. IV, 13c top (corr. acc.)."
Jastrow 196,Εὔκολος,אֶבְקוֹלָס,"(Εὔκολος) Eucolus, father of R. Zechariah.  Git. 56a; Lam. R. to IV, 2. Tosef. Sabb. XVI (XVII), 6 (Var. אבטולס, אביקלוס). Cmp. אפיקולוס."
Jastrow 214,Ἀβραμίς,"אברומא,  אבדומא","hash or brine of a certain fish (Ἀβραμίς?).  Succ. 18a (Ms. M. a. ed. אבד', v. Rabb. D. S. a. l.) [Rashi: ‘a very small fish’.]"
Klein 158,ἀβραμίς (abramis),אַבְרוֹמָה,"name of a fish mentioned in the Talmud, usually identified with the bream. [Prob. from Gk. abramis (= bream).]"
Klein 159,βύρσινος (bursinon),אַבַּרְזִין,"1) a cover of skin. 2) tarpaulin. NH PBH [Prob. from Avestic barezis (= cover). Some scholars derive אַבַּרֽזִין from Gk. bursinon (= leathern cover), from bursa (= hide, leather), which is of uncertain origin. cp. ‘burse’ in my CEDEL.]"
Klein 164,βράκαι (brakai),אַבְרָקַיִם,"dual  PBH breeches. [Formed with prosthetic אַ□ II from Gk. brakai, from L. brācae (= breeches), which is a Gaulish word borrowed from Teutonic. cp. Old Eng. brēc (= breeches), and see ‘breeches’ in my CEDEL.]"
Jastrow 265,ἄγω,אֲגוֹמֵין,"(ἄγωμεν, fr. ἄγω) up! come on! Gen. R. s. 78."
Jastrow 265,ἄγωμεν,אֲגוֹמֵין,"(ἄγωμεν, fr. ἄγω) up! come on! Gen. R. s. 78."
Jastrow 266,ἀγών,אָגוֹן,"(ἀγών) assembly, esp. public games.  Y’lamd. Emor (quot. in Ar, missing in Tanh.) א' נעשה במדינה."
Jastrow 279,ἀγορά,"אֲגוֹֹרָא, ","(ἀγορά) market-place, court-session, court. Pl. אֲגֹורָאֹות Git. 88b א' של נכרים (ed. אגוריאות corr. acc.) gentile courts."
Jastrow 288,καταῤῥάκτης,אַגְטְרַגְטָא,"(καταῤῥάκτης, cataracta) cataract, cascade. —Pl. אַגְטְרַגְטַיָּיא Y. M. Kat. I, beg. 80b אילין א' מה וכ' what is your opinion about those cascades?"
Jastrow 299,Ἠπειρῶται,*אגיריסין,", m. pl., a corruption of a geographical term, perh.  אפירוטין (Ἠπειρῶται) (steeds) of Epyrus. Targ. Jer. V, 8 (h. text מַשְׁכִּים)."
Jastrow 7527,ἡγεμών,(אֶגְמוֹן) הֶגְמוֹן,"(ἡγεμών) general.  Targ. Is. IX, 13; XIX, 15 (ed. Lag. הֶיגְ'; h. text זנב).—Sabb. 145b א' וקמטון ed. (Ms. O. ה'; Ms. M. א' וקמוטרי, Ar. ה' וקומין, read וקמיטיו) a general with his suite (comites). Taan. 29a Ms. M. (ed. אָדוֹן). Y. Snh. I, 19b top; a. fr.—Pl. הֶגְמוֹנִים, הֶגְמוֹנִין. Targ. II Esth. VIII, 7.—Ex. R. s. 31, end. [Tanḥ. Yithro 5 הגמונות, v הֶגְמוֹנְיָא.]—Ch. form הֶגְמוֹנָא. Ab. Zar. 11a"
Jastrow 328,ἐξιτήριον,"אֶגְסִיטֵרִין,  אֶכְסִיטֵירִין","(ἐξιτήριον S.) farewell-address, bequest.  [Mostly corrupt.] Midr. Till. to Ps. LXXXIV. Ib. to Ps. LXXXVI, 1. Ib. to Ps. XXVII. Pesik. Aḥaré p. 175ab סקווטריס; Lev. R. s. 21 סקויטרים, read אקסיטרין (v. Buber to Pesik. l. c.)."
Jastrow 343,ἀγοράνομος,אֲגַרְדְּמִיס,"(freq. אגרדמים) m. (a corrupt. of ἀγοράνομος, v. אַגְרוֹנִימוֹס) agoranomos, corresponding to the Roman ædilis, market commissioner, gauger, &c. Ab. Zar. 58a א' נכרי (כותי, Ms. V. גוי א') a gentile agoran. —B. Kam. 98a א' טייעא an Arabian agoran.—B. Bath. 89a מעמידין א' וכ' Ar. (ed. מִין—plur.) an agoran. may be appointed for superintending measures, but not for fixing the prices.—Pl. אֲגַרְדְּמִין B. Bath. l. c. (v. supra). [Pesik. Asser p. 96a לא' שיצא (sing.) Ar. (ed. להגרונימוס read לא', cmp. Yalk. Ps. 729).]—אֲגַרְדִּימִים Sifra K’doshim ch. VIII; cmp. Y. B. Bath. V, 15a bot. [Oth. corrupt. v. Pesik. l. c. note.]"
Klein 236,ἀγρονόμος (agronomos),אַגְרוֹנוֹם,"agronomist. FW [Gk. agronomos (= rural), compounded of agros (= field) and nomos, from the stem of nemein (= to assign, manage; to drive cattle, to pasture). The first element is cogn. with L. ager (= field, land); see אַקֽר. For the second element see ‘nemesis’ in my CEDEL.]"
Klein 237,ἀγρονόμος (agronomos),אַגְרוֹנוֹמוֹן,", agoranome, superintendent of the market. PBH [Gk. agronomos, compounded of agora (= market) and nomos, from the stem of nemein (= to assign, manage). cp. אַגְרֶגָט and אַגְרוֹנוֹם.]"
Jastrow 349,ἀγοράνομος,אַגְרוֹנִימוֹס,"(corr. אַגְרוֹנוֹ'), contr. אַנְגַּרְמוֹס m. (ἀγοράνομος) agoranomos, market-commissioner; v. אֲגַרְדְּמִיס a. אַגְרוֹמֵי.  Y. Dem. II, 22c top שהיה א' גדול the agor. was an influential man. Y. Ab. Zar. IV, 44b top. Lev. R. s. 1 אגרונימון (corr. acc.). Y. B. Bath. V, 15a bot. אנג' (twice); a. fr."
Jastrow 353,ἄγριος,"אַגְרִיאוֹן,  אַגְרִיּוֹן","(ἄγριος, neut.  or. acc.) wild (opp. אִימִירוֹן q. v.); rough. Gen. R. s. 77; Cant. R. to III, 6 כלב א'. Num. R. s. 11 (refer. to Gen. III, 8) שומע הקול א' after sinning, Adam heard the divine voice as a harsh one. Cant. R. to III, 7 (corr. acc.). Pesik. R. s. 15 בזעף א' וכ' … (leave out hebr. words as glosses to explain the Greek)."
Jastrow 356,Ἀγρίππας,אַגְרִיפַּס,"(Ἀγρίππας) Agrippa, 1) the last but one Herodian king of Judæa. Sot. VII, 8. , 1)  the last but one Herodian king of Judæa. Sot. VII, 8. Lev. R. s. 3; a. fr.—2) a captain of the former.—Ab. Zar. 55a אגריפא שר צבא של א' Ms. M. (v. Rashi a. l. a. Rabb. D. S. a. l. note)."
Jastrow 362,ἄγραφος,*אַגְרָפוֹס,"(ἄγραφος) unwritten.  Y. R. Hash. I, 57a bot. פרא בסיליאוס נומס א', cmp. Ar. h. v., a. s. v. בסיליאוס (ed. או נומוס או גריפיס) παρὰ βασιλέως ὁ νόμος ἄγραφος, for the king the law is unwritten (i.e. the king may disregard his own law). Lev. R. s. 35, beg. quot. in Ar. (missing in ed.)."
Jastrow 431,ἐθνάρχοι,*אֲדַנְדְּקֵי,"(a Babyl. corrupt. of ἐθνάρχοι, v. אדנקא P. Sm. 40) chiefs of tribes.  Ḥull. 60b א' שלהן חמשה Ar. (ed. ארונקי, Mus. אדונקי) the six tribes had only five chiefs (v. Josh. XII, 3). Ib. כתוב א' וכ' record the word א' in thy lecture notes (as a foreign word) and explain it."
Jastrow 450,ὑδραύλης,אִדְרַבְלָא,"(ὑδραύλης, hydraula) player on the hydraulis, organist. —Pl. אִדְרַבְלִין. Gen. R. s. 50 א' וכרבלין וכ' there are organists and flute players in the land (or organs and cymbals, v. next w.), and such a land should be destroyed? [Comment.—Perh. to be read אַרְדִּיכְלִין.] Ib. s. 23 ארדיכולין וכ' (ארדיב', corr. acc.)."
Jastrow 451,ὕδραυλις,"אִדְרַבְלִיס,  אִרְדַּבְלִיס","(trnsp.) m. (ὕδραυλις) water-organ.  Y. Succ. V, 55c bot. עוגב זה ארד'. Ib. לא היה א' וכ' there was no organ used in (the) Jerusalem (Temple) because it interferes with the sweetness (melody of the song).—Pl. אִדְרַבְלִין; v. foreg. Cmp. הרדוליס."
Jastrow 455,ὑδρωπικός,אִדְרוֹפִּיקוֹס,(ὑδρωπικός) suffering from dropsy.  Lev. R. s. 15 (var. corrup.); Yalk. Lev. 554. Ib. Job. 916 אִנְדְּר' (cmp. אדריינוס a. אנד').
Jastrow 460,Ἀδρίας,אַדְרִיאַס,(Ἀδρίας) Adriatic Sea.  Tanḥ. B’resh. 7 בין א' לאוקיינוס between the Adriatic Sea and the Mediterranean.
Jastrow 490,ὁρριάριος,"אֲהוּרְיָיר,  אֲהוּרְיָירָא","(horrearius, ὁρριάριος; v. Sm. Ant. s. v. Horreum) store-keeper, steward.  [Comment.: fr. אֻרְוָוה, v. אוּרְיָא, equerry.] Meg. 12b בר אהוריירֵיה דאבא thou, son of my father’s steward. B. Mets. 85a (Ms. M. אהוריריה); Sabb. 113b אהוריריה (v. Rabb. D. S. a. l. note 4) א' דרבי Rabbi’s house steward (manager)."
Klein 361,ἀλόη (aloe),אָהָל,"1) aloe. 2) an alkalic plant used as a soap. PBH 3) mesembryanthemum (botany). NH [Of uncertain origin. Perhaps borrowed from agaruh, aguruh (= aloewood), which are prob. of Dravidian origin. Gk. aloe (= aloe), is prob. a Heb. loan word. See ‘aloe’ in my CEDEL.]"
Jastrow 515,εὐ-αὐ,או־,"1)  prefix, esp. for verbal nouns, e.g. 1) prefix, esp. for verbal nouns, e.g. אודיצותא fr. דיץ. 2)  או, אוו = εὐ-αὐ, v. אב"
Jastrow 518,ὁ,"אוֹ, ","(ὁ) the.  Y. R. Hash. I, 57a bot. (in a Greek sentence), v. אגרפוס."
Klein 368,ὄασις (oasis),אוֹאָזִיס,"oasis. FW [Gk. oasis, of Egypt. origin. cp. Coptic ouahe (= oasis), whence also Arab. wāhah (of s.m., properly ‘dwelling place’), from ouah (= to dwell).]"
Klein 378,ὀβελίσκος (obeliskos),אוֹבֶּלִיסְק,"obelisk. FW [Gk. obeliskos (= a small spit, an obelisk), dimin. of obelos (= a spit, needle, pointed pillar, obelisk), which is of uncertain origin.]"
Jastrow 533,ὄβρυζον,אוֹבְרִיזָא,"f., אֹובְרִיזֹון, אֹובְרִיזִין m. (ὄβρυζον) pure gold, unalloyed.  Targ. Ps. CXIX, 127; Targ. Prov. VIII, 19; a. e."
Jastrow 538,ὀγδοήκοντα,אוֹגְדוֹיִיקוֹנְטָא,"(ὀγδοήκοντα) eighty.  Y. B. Bath. X, 17c (corrected text) שטר נפיק מר' חונה לר' שמיי אוגדויי מחיק קונטא לא מחיק. א""ר שמיי לר' חונה פוק חזי עם ההן אהן קונטא משמש. ומר עם טרייאקונטא. כי נפק אמר הדא בעי מתגרא תלתין אפסד עשרין. A bill of indebtedness passed from R. Ḥuna (who could not decide or on whose decision the party would not rely) to R. Sh.—on which bill ogdoë was blurred (showing an erasure), and conta was clear. Said R. Sh. to R. Ḥ., Go and see what is the lowest numeral in Greek that conta is combined with. Said he, It is triaconta (thirty).—When the party had left, he said, That man intended to make thirty (by the erasure) and lost twenty (the original having been fifty, penteconta)."
Klein 392,ᾠδή (ode),אוֹדָה,"ode. FW [Gk. ode, contraction of aoide (= song), which is related to aeido (= sing), which prob. is cogn. with aedon (= nightingale), aude (= voice, tone, sound), audao (= I talk, speak). cp. ‘ode’ and words there referred to in my CEDEL.]"
Klein 397,Ὀδύσσεια (Odysseia),אוֹדִיסֵיָה,"the Odyssey (used also figuratively for any long wanderings). FW [Gk. Odysseia, from Odysseus.]"
Jastrow 593,εὐθέως,"אֶוְותִּיאוֹס,  (אותיום) אֶוְתִּיוֹס","(εὐθέως) forthwith, immediately after.  Nid. II, 2 (14a) נמצא על שלה א' Ar. (ed. אותיום, corr. acc.) if a stain is found on her bedclothes immediately after (the coïtion). Ib. 12b; 14b איזהו שיעור אוו' Ar. ed. Koh. (ed. ותס, וסת, corr. acc.) what is the interval designated by evthios? Y. Nid. II, 49d bot. repeatedly הֶיוְתִּיאֹוס or הֶוְו'."
Jastrow 597,αὐθεντία,"אַוותֶּנְטְיָא,  אַוְתֶּ',  אַוְותֶּנְטְיָיה","(αὐθεντία) origin, reality; v. next w.—עיקר א' the very reality, virtuality.  Gen. R. s. 25 עיקר א' וכ' the real famine was destined to be in the days of Saul. Cant. R. to I, 1 עיקר א' וכ' the real, authentic, among the several names of Solomon &c. Koh. R. to I, 1 אית' (corr. acc.). Num. R. s. 10 אוותיננייה (corr. acc.)."
Jastrow 598,αὐθέντης,"אַוְותֶּנְטִי,  (אפתנטי)","(αὐθέντης) originator, author.  Gen. R. s. 16 פרת א' של וכ' the Euphrates is the originator (ultimate source) of the rivers (mentioned Gen. II, 10 sq.).—Pl. m. אַוְותֶּנְטִין. Y’lamd. to Num. XI, 16 (quot. in Ar. s. v. אמתנטין) כנגד אפת' של ישראל וכ' (corr. אוו') corresponding to the number of the originators of Israel, for with seventy souls &c.—Fem. אַוְותֶּנְטִיֹּות, אַוְותֶּנְטִיאֹות. Pesik. Sh’kal. p. 16b אומות א' (seventy) original nations."
Klein 410,αὐτώ (auto),"אוֹטוֹ□,  אַבְטוֹ□","(before a vowel אוֹט□, אַבְט□)  FW auto-, resp. aut-. [Gk. auto-, resp. aut-, from autos (= self, same), which is of uncertain origin.]"
Klein 416,αὐτοδίδακτος (autodidaktos),"אוֹטוֹדִידַקְט,  אַבְטוֹדִידַקְט","autodidact, one self-taught. FW [From Gk. autodidaktos (= self-taught), from auto- (see אוֹטוֹ□) and didaktos (= taught), verbal adj. of didaskein (= to teach). See דִּידַקְטִיקָה.]"
Klein 419,αὐτόματον (automaton),"אוֹטוֹמָט,  אַבְטוֹמָט","automaton. FW [Gk. automaton, neuter of automatos (= acting of one’s own will, happening of itself), compounded of auto- (see אוֹטוֹ□) and IE *mntós (= thinking), from base *men- (= to think), whence also Gk. mentor (= adviser). See ‘mind’ in my CEDEL.]"
Klein 421,αὐτόνομος (autonomos),"אוֹטוֹנוֹמִי,  אַבְטוֹנוֹמִי","autonomous. FW [Formed with adj. suff. □ִי from Gk. autonomos (= living by one’s own laws), which is compounded of auto- (see אֹוטֹו□) and nomos (= law). See ‘nomo-’ in my CEDEL.]"
Klein 422,αὐτονομία (autonomia),"אוֹטוֹנוֹמְיָה,  אַבְטוֹנוֹמְיָה","autonomy. FW [Gk. autonomia (= independence), from autonomos. See אוֹטוֹנוֹמִי.]"
Klein 433,αὐτάρκεια (autarkeia),אוֹטַרְקְיָה,"autarky, self-sufficiency. FW [Gk. autarkeia, from autarkein (= to be self-sufficient), which is compounded of auto- (see אוֹטוֹ□) and arkein (= to suffice), which is related to arkos (= defense), arkios (= safe, sure), and cogn. with L. arcēre (= to enclose, keep away, ward off). These words stand in gradational relationship to Orcus, name of the god of the infernal regions in Roman mythology. cp. קְסַרְקָט.]"
Klein 440,ἀήρ (aer),אֲוִיר,"air. PBH [From Gk. aer (= air), of uncertain origin.] See ‘air’ (atmosphere) in my CEDEL and cp. words there referred to. cp. אֲוִירִיָּה, אֲוִירִיּוּת, אורר, אִוֵּר, אֲוִירַאי, אֲוִירָה, אֲוִירוֹן, אֲוִירִי.]"
Jastrow 634,ἀήρ,"אָוִיר,  אֲוִיר","(אור; cmp. רוּחַ a. רֶוַח); space corresp. to חָלָל, esp.  1)open, empty space, blank.  Ohol. IV, 1 a tower שעומד בא' standing isolated. Ib. XVIII, 10 אוירָהּ של חצר the open space in the court-yard.—B. Bath. 163a—2) (cmp. b. h. מְאוּרָה) hollow, cavity of a vessel.  Kel. II, 1 מיתטמאין ומטמאין בא' become unclean and make unclean by contact with the hollow (of the vessel).—Yeb. 67b נפק לא' העולם came forth into the lighted space of the world, i.e. was born; a. fr.—3) (cmp. ἀήρ, aër) air, atmosphere, climate, weather.  Num. R. s. 14 הא' שממנו וכ' (as one of the elements of nature) out of which the wind was made.—Gen. R. s. 34 א' יפה fine weather; a. fr.—Pl. אֲוִירִיןblank spaces in writings. B. Bath. 163a.—אֲוִירוֹת climates. Gen. R. s. 34 ברית נחלקה לא' a covenant has been made in favor of climates, i.e. God has implanted in man a love of his native soil even in bad climates."
Jastrow 637,ἀβερτή,אֲוִירְטָא,"(averta, ἀβερτή) knapsack. —Pl. אֲוִירְטִין. Tosef. Kel. B. Bath. IV, 10."
Jastrow 661,ὅλο,אוֹלוֹ־,"(ὅλο-) a prefix, sometimes separately printed, whole, entirely of.  Pesik. Vay. B’yom p. 4b א' מרגליטין trimmed all over with pearls. Lev. R. s. 32, end אילו כורסין (corr. acc.) all gold, v. אֹולֹוכְרוּסֹון."
Jastrow 665,ὁλόχρυσον,אוֹלוֹכְרוּסוֹן,"(ὁλόχρυσον) all gold.  Lev. R. s. 32 (variously corrupted, v. אֹולֹו־.—Ar. אולון כרוסא); Cant. R. to IV, 7 (corr. acc.)."
Jastrow 667,ὁλοσήρικος,אוֹלוֹסֵירִיקָא,"(ὁλοσήρικος) all silk. —Pl. אֹולֹוסֵירִיקִין, mostly אֹולֹוסְרִיקִין pure-silken garments. Koh. R. to I, 7. Y. Sabb. VI, 8b bot., Yalk. Prov. 935.—[Koh. R. l. c. second time some ed. אולוסתיקין, corr. acc.]"
Jastrow 671,ὀλεάριος,"אוֹלְיָאר,  אוֹלְיָיר","(olearius, ὀλεάριος S.) keeper of clothes at the baths.  Y. Maas. Sh. I, 52d top מעות הנתונות לא' tokens (in place of small change) given to the olearius; cmp. Tosef. Maas. Sh. I, 4.—Pesik. R. s. 22; a. e.—Pl. אוֹלְיָארִין, אוֹלְיָירִין. Tosef. Kel. B. Mets. II, 12 מגררות של אוּלְיָרִין ed. Zuck. (oth. ed. אולו' corr. acc.) the brushes (strigils) of the bathing attendants. Sabb. 147b. Y. Ber. II, 4c top; cmp. Pesik. R. l. c.; a. e. V. אוֹרְיָיר. [Sabb. 144a כלים הא', Nid. 20a האולירין …, v. אוֹלָרִין.]"
Klein 465,ὀλιγαρχία (oligarchia),אוֹלִיגַרְכְיָה,"oligarchy. FW [Gk. oligarchia (= government by a few persons, oligarchy), from oligarches (= oligarch), which is compounded of oligos (= small, little; in the pl. ‘few’), and archos (= leader, chief, ruler). See ‘oligo-’ and ‘-arch’ in my CEDEL.]"
Klein 466,Ὀλυμπιάς (Olympias),אוֹלִימְפְּיָאדָה,"Olympiad. [Gk. Olympias, from olympia (a district in Elis in ancient Greece, where the Olympian games were held), from f. of olympios (= pertaining to Olympus or Olympia), from olympos (= Olympus), which is of unknown etymology.]"
Jastrow 675,Οὐλαμμοῦς,"אוּלָם, ","(v. foreg., Οὐλαμμοῦς Euseb.  Euseb. Onom.; Neub. Géogr. p. 18; 261)Ulam (Porta) a place in Gilead, and one in Galilee.  Y. Snh. X, 28d—2)  in Cilicia; v. אַבְלַס"
Jastrow 693,ὁμολογία,*אוֹמוֹלוֹגְיָיא,"(ὁμολογία) [agreement, admission] receipt, discharge.  [This meaning of ὁμολογία as receipt cannot be proven from Greek literature; cmp. however, Sm. Dict. Ant. s. v. Acceptilatio.] Y. M. Kat. III, 82a bot., explaining שוברים (v. שׁוֹבֵר, receipt) אימולוגים (corr. acc., De Lara אוֹמוֹלוֹגִין pl. m. fr. ὁμόλογον). Y. Keth. IX, end, 33c ולית רב או' (= ולית ליה לרב is it Rab’s opinion that the divorced woman is not bound to write a receipt (for her dowry)?"
Jastrow 693,ὁμόλογον,*אוֹמוֹלוֹגְיָיא,"(ὁμολογία) [agreement, admission] receipt, discharge.  [This meaning of ὁμολογία as receipt cannot be proven from Greek literature; cmp. however, Sm. Dict. Ant. s. v. Acceptilatio.] Y. M. Kat. III, 82a bot., explaining שוברים (v. שׁוֹבֵר, receipt) אימולוגים (corr. acc., De Lara אוֹמוֹלוֹגִין pl. m. fr. ὁμόλογον). Y. Keth. IX, end, 33c ולית רב או' (= ולית ליה לרב is it Rab’s opinion that the divorced woman is not bound to write a receipt (for her dowry)?"
Klein 480,ὄγμος (ogmos),אוֹמָן,"row of corn in the field. PBH [Of uncertain origin; possibly related to Arab. ’immān (of s.m.), or a loan word from Gk. ogmos (= row, line), which stands in gradational relationship to agein (= to lead), for whose etymology see ‘agent’ (adj.) in my CEDEL.]"
Jastrow 716,εὐαγγέλιον,"אָוֶן,  אָוֶון","√או = עו to curve, be curved, hollow; to press, be pressed; v. אוי, אוגיא &c.; comp. חו, חב, גו, גב, עב) 1)oppression, wrong (= עָוֹן) —2)falsehood, vanity (= הֶבֶל).  א' גִּלְיוֹן a cacophemistic adaptation of εὐαγγέλιον (v. גליון). Sabb. 116a bot. (after לסכוניה, omitted in ed.) דר' מאיר א' ג' ר' יוחנן קרי ליה עון גליון (Rashi Ms. ר' מאיר, v. Rabb. D. S. a. l. note) R. Meïr called the gospel falsehood of blank paper (or of revelation), R. Yoḥ. called it sin of &c. [Ib. several times עון גליון or און ג' in Ms. a. older editions, for אירייתא אחריתי &c. in recent ed., v. Rabb. D. S. a. l.]"
