Unnamed: 0,Greek Entry,Entry,Definition
2038,akrostichis,אַקְרוֹסְטִיכוֹן,"acrostic. FW [Gk. akrostichis, compounded of akros (= at the end, outermost; see אַקְרָה), and stichos (= row, line, rank, verse), which is related to steichein (= to go; to march in order). These words derive from IE base *stī̆gh– (= to stride, step, walk, climb). cp. the second element in קָדַסְטֶר.]"
1149,allegoria,אַלֶּגוֹרְיָה,"allegory. FW [Gk. allegoria (= figurative language), lit.: ‘a speaking about (seemingly) something else’. Compounded of allos (= other) and agoreyein (= to speak in the assembly), from agora (= assembly).]"
361,aloe,אָהָל,"1) aloe. 2) an alkalic plant used as a soap. PBH 3) mesembryanthemum (botany). NH [Of uncertain origin. Perhaps borrowed from agaruh, aguruh (= aloewood), which are prob. of Dravidian origin. Gk. aloe (= aloe), is prob. a Heb. loan word. See ‘aloe’ in my CEDEL.]"
1177,aloe,אַלְוַי,"aloe (plant). PBH [L. aloē, from Gk. aloe, prob. borrowed from Heb. אַֽהָלִים, אֲהָלוֹת, which are perhaps borrowed from Old I. agaruḥ, aguruḥ (= aloewood).]"
99,ambix,אַבִּיק,"alembic, retort. NH [Prob. from Gk. ambix (= cup, cup of a still, alembic). Whence also Arab. al-anbiq. Of uncertain origin. See ‘alembic’ in my CEDEL.]"
1413,amiantos,אַמְיַנְטוֹן,"name of a kind of asbestos. PBH [Gk. amiantos (lithos), lit.: ‘undefiled (stone)’, from privative pref. a- and miatos (= stained, defiled), verbal adj. of mianein (= to stain, defile), which derives from IE base *mei-, *mai- (= to stain, defile). See ‘miasma’ in my CEDEL.]"
1349,amoibe,אֲמֶבָּה,"amoeba. FW [Gk. amoibe (= change), related to ameibein (= to change), from copulative, pref. a- and IE base *meigw-, *migw- (= to change), whenœ also L. migrāre (= to wander). Copulative pref. a- stands for IE *sm-, a weak gradational form of IE base *sem- (= one, together). See ‘same’ and ‘migrate’ in my CEDEL.]"
9453,amoibe,חִלּוּפִית,"amoeba. NH [Formed from חלף I (= to change), a loan translation of Gk. amoibe (change). See ‘amoeba’ in my CEDEL.]"
1404,amorphos,אֲמוֹרְפִי,"amorphous. FW [Formed with suff. □ִי from Gk. amorphos (= without form, shapeless, deformed) from privative pref. a- and morphe (= form, shape), which is of uncertain origin.]"
1455,amphibios,אַמְפִיבִּי,"amphibian, amphibious. FW [Back formation from Gk. amphibios (= living a double life; i.e. ‘on land and in water’), from amphi (= around, round, about), and bios (= life).]"
1456,amphibrachus,אַמְפִיבְּרָכוּס,"amphibrach (prosody). FW [Gk. amphibrachus (= short at both ends), from amphi (see אַמֽפִיבִּי) and brachus (= short).]"
21509,amylon,עֲמִילָן,"starch. PBH [From Gk. amylon (= fine meal, starch), properly neuter of the adjective amylos (= not ground at the mill), from privative pref. a– and myle (= mill). See privative pref. ‘a-’ and ‘mill’ in my CEDEL.]"
1505,ana,אָנָ□,"(before a vowel אָנ□) ana-, resp. an-. FW [Gk. ana-, resp. an- (= up to, upward, up, toward; exceedingly; back, backward; against), from ana (= up, on, upon; throughout; again), which is related to ano (= above), from IE base *anō- (= on, upon, above). cp. ‘on’, an ‘a’ (on) in my CEDEL.]"
1611,anachronismos,אֲנַכְרוֹנִיזְם,"anachronism. FW [Ultimately from Gk. anachronismos (= anachronism), from anachronizein (= to refer to a wrong time), from ana (= up to, against), and chronos (= time). See כְּרוֹנִי and □ִיזְם.]"
1618,anaimia,אֲנֶמְיָה,"anemia, anaemia (disease). FW [Gk. anaimia (= want of blood, bloodlessness), from privative pref. an- and aima (= blood). cp. the first element in הֶמוֹגְלוֹבִּין.]"
1626,anaisthesia,אַנֶסְתֶּסְיָה,"anesthesis. FW [Gk. anaisthesia (= lack of sensation), from anaisthetein (= to be without sense of something, lack sensation), from privative pref. an- and aisthetos (= sensible, perceptible). See אֶסְתֶּטִי and suff. □יָה.]"
19387,anaklita,נַקְלִיט,"bed pole. PBH [From Gk. anaklita (= things leaned), neuter pl. of anaklitos, p. part. of anaklinein (= to make to lie back, to lean one thing against another), from ala (= up, on, upon), and klinein (= to cause to slope, slant, incline). See קְלִינִי.]"
1613,analysis,אֲנָלִיזָה,"analysis. FW [Gk. analysis(= a loosing, releasing), from analyein (= to unloose, release, set free), from ana (= up to, on, throughout), and lyein (= to unfasten, loosen, slacken), which is cogn. with Old I. lunā́ti, lunṓti (= cuts, cuts off), L. luere (= to loose, release; to atone for, expiate). See ‘lose’ in my CEDEL and cp. ‘lysis’ ibid. cp. also אֲנָלִיטִי.]"
1631,anaphora,אֲנָפוֹרָה,"anaphora — repetition of the same word in successive clauses (rhetorics). FW [Gk. anaphora (= a carrying back), from anapherein (= to carry back), from ana (= up to; back, backward), and pherein (= to bear, carry), which together with phor (= thief) derives from IE base *bher- (= to bear, carry). See אַשְׁבֹּרֶן. cp. פוּרוּנְקוּל, פּוּרְיָא, the first element in בֶּרוֹנִיקָה, and the second element in מֶטָפוֹרָה, סֶמָפוֹר, פוֹסְפוֹר, פֶּרִיפֶרְיָה, פרן, קָטַפְרֵס, תֵּיאוֹפוֹרִי. cp. also דִּיפֶרֶנֽצְיָאל and בָּרוֹן.]"
1565,anatomia,אֲנָטוֹמְיָה,"anatomy. [Ultimately from Gk. anatomia, anatome (= dissection), which is related to anatemein (= to cut up), from ana (= up, on, upon), and temein (= to cut). See אָטוֹם and suff. □יָה.]"
1528,andrias,"אַנְדַּרְטָא,  אַנְדַּרְטָה","resp. NH f.n. statue, image, bust. PBH, [Gk. andrias, gen. andriatos (= the image of a man, statue), from aner, gen. andros (= man), which is cogn. with Old I. náram (= man), na’ryaḥ (= virile). cp. דֶּנֽדִּי and the first element in אַנְדּֽרוֹלוֹמוּסְיָא, אַנְדּֽרוֹמֶדָה and in אַנְתּֽרוֹפּוֹלוֹגֽיָה.]"
1525,androgynos,אַנְדְּרוֹגִינוֹס,"hermaphrodite. NH [Gk. androgynos (= man-woman, hermaphrodite), from anes, gen. andros (= man), and gyne (= woman). See ‘androgynous’ and ‘gynandrous’ in my CEDEL.]"
1526,androlempsia,"אַנְדְּרוֹלוֹמוּסְיָא,  אַנְדְּרוֹלוֹמוּסְיָה","1) pestilence. PBH 2) confusion, chaos. NH [Gk. androlempsia, for androlepsia (= seizure of men in reprisal of the murder of a citizen abroad), compounded of aner, gen. andros (= man), and the stem of lambanein (= to take). See ‘andro’ and ‘lemma’ in my CEDEL.]"
1527,Andromeda,אֵנְדְּרוֹמֶדָה,"Andromeda (astronomy). FW [From Gk. Andromeda, daughter of Cepheus and Cassiopeia in Greek mythology, who was placed as a constellation in heaven. Lit. meaning ‘mindful of her husband’; compounded of aner, gen. andros (= man), and medesthai (= to be mindful of, give heed to, think of), which is related to medon, medeon (= guardian, ruler), properly pres. part. of the ancient verb medein (= to protect, rule over). See ‘meditate’ in my CEDEL.]"
19142,anemone,נַעֲמָן,"pleasantness (a hapax legomenon in the Bible, occurring Is. 17:10 in the pl. in the phrase נִטְעֵי נַעֲמָנִים, ‘plants of pleasantness’). [Formed from נעם I with adj. suff. □ָן. Gk. anemone (= the wind flower), prob. derives from נַעֲמָן. See ‘anemone’ in my CEDEL. cp. proper name נַעֲמָן.]"
512,ankyle,"אוּנְקָל,  אוּנְקְלִי","hook. PBH [A loan word from Gk. ankyle (= bend of the arm, hook), which is related to ankylos (= crooked, curved), ankol (= elbow), and cogn. with L. ancus (= crooked, curved), angulus (= angle, corner). See ‘angle’ (corner), and ‘angle’ (fishhook) in my CEDEL.]"
1539,anomalos,אֲנוֹמָלִי,"anomalous. [Formed with adj. suff. □ִי from Gk. anomalos (= unequal), which is formed from privative pref. an and omalos (= even), from omos (= one and the same), which derives from IE base *sem- (= one, together). See ‘same’ in my CEDEL and cp. ‘anomalous’ ibid. cp. אֲנוֹרְמָלִי.]"
1562,antagonisma,אַנְטָגוֹנִיזְם,"antagonism. FW [Gk. antagonisma, from antagonizesthai (= to struggle against), from anti (see אַנְטִי□) and agonizesthai (= to struggle), from agon (= assembly; contest in the games), from agein (= to lead, guide), which is cogn. with L. agere (= to set in motion, drive, lead). See ‘agent’ (adj.) in my CEDEL. For the ending see suff. □ִיזֽם.]"
1586,Antares,אַנְטָרֶס,"Antares (astronomy). FW [Gk. Antares, lit.: ‘opposite (the planet) Mars’, from anti (= opposite); (see אַנְטִי□), and Ares (= Mars), which derives from are (= bane, ruin). This word is related to arein (= a cursing, menacing).]"
20470,anthereon,סַנְטֵר,"jaw, jawbone. PBH [Of uncertain origin; possibly derived from Gk. anthereon (= chin).]"
1659,anthologia,אַנְתּוֹלוֹגְיָה,"anthology. FW [Gk. anthologia (= a flower gathering), from anthologos (= gathering flowers), which is formed from anthos (= flower), and legein (= to gather). See אַנְטִילוֹפָּה, לִגְיוֹן and suff. □יָה.]"
1561,anti,אַנְטְאַרְקְטִי,"antarctic. FW [Properly ‘opposite to the north’, from Gk. anti (see אַנְטִי□) and arktos (= bear; the constellation of the Great Bear). See אַרֽקֽטִי.]"
1567,anti,אַנְטִי□,"(before a vowel אַנְט□)  FW anti-, resp. ant-, pref. meaning ‘opposite, against, instead’. [Gk. anti-, ant- (= over against, opposite, before, instead of) which is related to anta, anten (= opposite). cp. ‘ante-’ and ‘anti-’ in my CEDEL. cp. also אַנְטִיקְוַארְיוֹן.]"
1580,anti,אַנְטִיקְוַארְיוֹן,"antiquity store, secondhand bookstore. FW [From L. antīquārius (= pertaining to antiquity), from antīquus (= old), from ante (= before), which is related to Gk. anti (= over against, opposite, before, instead of). See אַנְטִי□.]"
1588,anti,אַנְטַרְקְטִי,"Antarctic, pertaining to the South Pole or regions near the South Pole. FW [Properly ‘opposite to the north’, from Gk. anti (= opposite), and arktos (= bear; the constellation of the Great Bear). See אַנְטִי□ and אַרְקְטִי.]"
1573,antia,אַנְטִילְיָה,"a water-scooping machine. PBH [Borrowed from Gk. antia (= hold of a ship; reservoir), which together with antlion (of s.m.) derives from antlos (= hold of a ship; bucket). See אַנֽטָל.]"
1584,antlos,אַנְטָל,"vessel. PBH [Gk. antlos (= hold of a ship; bucket), prob. standing for antlos, from am-thlos-s, and related to ame (= bucket). See ‘amnion’ in my CEDEL and cp. אַנְטִילְיָה.]"
1566,antonymia,אַנְטוֹנִים,"antonym. FW [Formed from Gk. antonymia (= a word used for another, a pronoun), from anti (= instead of; see אַנְטִי□), and onyma, dialectal form of onoma (= noun). See נוֹמִינָלִי.]"
1929,apatheia,אַפַּתְיָה,"apathy. FW [Ultimately from Gk. apatheia (= freedom from suffering, impassibility), from apathes (= without suffering, impassible), from privative pref. a- and pathos (= feeling, suffering, passion). See פָּתוֹס and cp. ‘apathy’ in my CEDEL.]"
1900,Aphrodite,אַפְרוֹדִיטָה,"(אַפְרוֹדִיטֵי in PBH) Aphrodite (Greek mythology). FW [Gk. Aphrodite, prob. a popular alteration of Aphthothe, Attorethe (a change due to the influence of Gk. aphros, ‘foam’, from Phoen. עשתרת, Heb. עַשְׁתֹּרֶת (= the goddess of love), which is related to Akka. Ashtarte, Ishtar. See עַשְׁתֹּרֶת. The explanation of the name Aphrodite by Hesiod as ‘(the goddess) born of the foam (of the sea)’ is folk etymology. For the change of sh to ph cp. Heb. שׁוּם, Arab. thum, VArab. fūm (= garlic); Heb. גָּדִישׁ, Arab. jadath, VArab. jadaf (= mound, tumulus); and the Russian proper name Feodor, which derives from Gk. Theodoros (= Theodore). cp. אַסְטֵרוֹאִיד.]"
21668,aphye,עַפְיָן,"name of a fish (usually identified with the anchovy). PBH [From Gk. aphye (= small fry of various fishes), which is of unknown etymology.]"
1768,apo,אַפּוֹ□,"pref. in words of Greek origin meaning ‘from, away from, asunder, separate’. FW [Gk. apo (= from, away from), cogn. with Old I. ápa (= away from), L. ab (= away from, from). See ‘of’ in my CEDEL and cp. אַבְּ□. cp. also פּוֹסְט.]"
1789,apokalyptikos,אַפּוֹקָלִיפְּטִי,"apocalyptic(al). FW [Gk. apokalyptikos, from apokalyptein. See אַפּוֹקָלִיפְּסָה and adj. suff. □ִי.]"
1797,apotheke,אַפּוֹתֵיקָה,"storehouse. FW [Gk. apotheke (= granary, storehouse; lit.: ‘a place wherein to lay up something’), from the stem of apotithenai (= to put away), from apo (= away from, from; see אַפּוֹ□) and tithenai (= to put, place). See תִּיק and cp. אִפּוֹתֵיקָה and דִּיָּתֵקֵי. cp. also הֶפְתֵּק.]"
6909,apotheke,הֶפְתֵּק,"storeroom for food. PBH [Gk. apotheke (= granary, storehouse). See אַפּוֹתֵיקָה.]"
1880,apsintheon,אַפְסִנְתִּין,"Artemisia absinthium (botany). PBH [Gk. apsintheon (= wormwood), for Old Pers. origin.]"
2153,archaikos,אַרְכָאִי,"archaic. FW [Gk. archaikos (= old-fashioned, antiquated), from archios (= ancient), from arche (= beginning, origin). See אַרְכִי and suff. □ִי.]"
2165,archaiologia,אַרְכֵיאוֹלוֹגְיָה,"archaeology. NH [Gk. archaiologia (= the study of ancient things), compounded of archaios (= ancient), and – logia. See אַרְכִי and □לוֹגְיָה.]"
2154,archaismos,אַרְכָאִיזְם,"archaism. FW [Gk. archaismos, from archaizein (= to be old-fashioned, copy the ancients in language), from archaios (= ancient). See אַרְכָאִי and suff. □ִיזְם.]"
2162,arche,אַרְכִי,"rule, dominion; term of office, office. PBH [Gk. arche (= beginning, first cause, origin, first principle; office), from the stem of archein (= to begin, rule), whence also archos (= leader, chief, ruler). cp. אַרְכָאִי, אַרְכִי□, אַרְכִיּוֹן, □ַרֽכֽיָה, the first element in אַרְכֵיאוֹלוֹגְיָה and the second element in מַטְרִיאַרְכָט, הִיֶּרַרְכְיָה, פּוֹלֵימַרְכוּס. cp. also עַרֽכִּי.]"
21995,arche,עַרְכֵּי,"recorder’s office, registry, archives. PBH [From Gk. arche (= beginning, origin; magistracy, office). See אַרְכִי and cp. עַרְכָּאָה.]"
2167,archeion,אַרְכִיּוֹן,"archives. PBH [Gk. archeion (= public building, town hall), pl. archeia (= public records, the archives), from arche (= beginning, origin). See אַרְכִי.]"
2163,archi,אַרְכִי□,"archi– (a pref. meaning ‘chief’, ‘primitive, original’). FW [Gk. archi–, related to archos (= leader, chief, ruler). See אַרְכִי.]"
2174,archilestes,אַרְכִילִיסְטִיס,"gang leader, robber, chief. PBH [Gk. archilestes (= robber chief), compounded of archi– (see אַרְכִי□ and lestes (= robber). See לִסְטִים.]"
2159,archon,אַרְכוֹן,"ruler. PBH [From Gk. archon (= ruler), properly pres. part. of archein (= to rule).]"
2072,argemone,אַרְגָּמָן,"purple, red purple. [Prob. a loan word from Akka. argamannu, whence also Aram.–Syr. אַרְגְּוָנָא, whence Arab. ’urjuwān. For the change of m to w in words of Akka. origin cp. מַרְחֶשֽׁוָן, כִּסְלֵו. Gk. argemone (= a kind of poppy), is prob. a loan word from Heb. אַרְגָּמָן; see ‘Argemone’ in my CEDEL. cp. אַרְגְּוָן.]"
2142,ariston,אֲרִיסְטוֹן,"a solemn feast, festive banquet. PBH [Gk. ariston (= morning meal, breakfast; later ‘the midday meal’), formed from the locative a(i)eri (= in the morning). The suff. – sto–n in ariston stands for *d-to-, zero degree of root ed- (= to eat), whence Gk. edein, esthiein, L. edere (= to eat).]"
2148,arithmetike,אֲרִיתְמֶטִיקָה,"arithmetic. FW [Ultimately from Gk. arithmetike techne (= the art of counting), from arithmein (= to number, count, reckon), from arithmos (= number), from IE base *riī̌ (= to count). Base *rī̌- is prob. an enlargement of base *ar- (= to join), whence L. arma (= weapons), ars (= art), etc. See אַרְטִיסְט and cp. the second element in לוֹגָרִיתְם.]"
2097,aroma,אֲרוֹמָה,"aroma. FW [Gk. aroma (= fragrance, odor, spice), of uncertain origin.]"
2098,aromatikos,אֲרוֹמָתִי,"aromatic. FW [Gk. aromatikos, from aroma. See אֲרוֹמָה with suff. □ִי.]"
641,asbestos,אַזְבֶּסְט,"asbestos. FW [Gk. asbestos (lit.: ‘unquenchable, inextinguishable’), from pref. a-, and sbestos, verbal adj. of sbennunai (= to quench, extinguish), which derives from IE base *gwes- (= to quench, extinguish).]"
1694,asemon,אֲסִימוֹן,"1) uncoined metal; worn coin. PBH 2) metal token (to be used in subways, telephone booths, etc.). NH [Gk. asemon (= uncoined metal, bullion), properly subst. use of the neuter of the adj. asemos (= without token), which is formed from privative pref. a-, and sema (= sign, token). See סִימָן.]"
1693,Asia,אַסְיָה,"Asia. FW [Gk. Asia, from Akka. aṣū (= to go out; to rise — said of the sun), which is related to Heb. יָצָא (= he went out; it rose — said of the sun). Accordingly Asia orig. denoted ‘the Region of the Rising Sun’ in contradistinction to Europe which orig. meant ‘the Region of the Setting Sun’ (see אֵירוֹפָּה). cp. the second element in אֵירַסְיָה. cp. also Asia and ‘wudu’ in my CEDEL.]"
1716,asilla,אֵֽסֶל,"pole, yoke. PBH [Hebraization of Gk. asilla (= yoke), which is of unknown origin.]"
1742,asparagos,אַסְפָּרָגוּם,"asparagus. PBH [Gk. asparagos, prob. meaning lit. ‘a sprout’ and related to sparagan (= to swell, be ripe), from IE base *sper(eg)-, *spher(e)g- (= ‘to sprout, swell, burst’), whence also L. spargere (= to scatter). See ‘sparse’ in my CEDEL and cp. ‘asparagus’ ibid.]"
1730,asphaltos,אַסְפַלְט,"asphalt. FW [Ultimately from Gk. asphaltos, which is of uncertain, possibly Sem., origin.]"
1752,assarion,אִסָּר,"a small Roman copper coin. PBH [Gk. assarion, from L. ās, gen. assis, prob. lit. meaning ‘square piece of metal’ (such as the original form of the coin) and orig. identical with assis, axis (= plank, disc), which is related to asser (= pole, stake, post). See ‘ashlar’ in my CEDEL and cp. second ‘as’ ibid.]"
1683,asteroides,אַסְטֵרוֹאִיד,"asteroid. FW [From Gk. asteroides (= starlike), which is compounded of aster (= star) and - oeides (= -like), from eidos (= form, shape). Gk. aster prob. goes back to an IE primary form *astero, which is of uncertain Sem. origin. It possibly derives from the name of the evening star called after the Sem. goddess Astarte, i.e. Ishtar, Heb. עַשְׁתֹּרֶת. See אַפֽרוֹדִיטָה, and cp. אַסְטְרוֹלוֹג, אַסְטְרוֹנָאוּט, אַסְטְרוֹנוֹם. For the etymology of ‘œides’ see אִידֵיאָה.]"
1681,asthenes,אִסְטְנִיס,"sensitive, fastidious, squeamish. PBH [Gk. asthenes (= weak), lit.: ‘without strength’, from privative pref. a-, and sthenos (= strength), which is of uncertain origin.]"
1757,asthma,אַסְתְּמָה,"asthma. FW [Gk. asthma (= hard-drawn breath), which prob. stands for an-sthma and derives from IE base *an- (= to blow, breathe), whence also anemos (= wind), L. animus (= breath of air, air, breath). For other derivative of base *an- see אֲנִימִיזֽם.]"
1685,astrologia,אַסְטְרוֹלוֹגְיָה,"astrology. FW [Ultimately from Gk. astrologia (= ‘astronomy’, later ‘astrology’), from astrologos. See אַסְטְרוֹלוֹג. For the ending see suff. □יָה.]"
1684,astrologos,אַסְטְרוֹלוֹג,"astrologer. FW [Gk. astrologos (= ‘astronomer’, later ‘astrologer’), compounded of astron (= star), and logos. See אַסְטְרוֹלוֹגְיָה.]"
1689,astronomia,אַסְטְרוֹנוֹמְיָה,"astronomy. FW [Ultimately from Gk. astronomia (= astronomy), from astronomos. See אַסְטְרוֹנוֹם and suff. □יָה.]"
1687,astronomos,אַסְטְרוֹנוֹם,"astronomer. FW [Gk. astronomos (= astronomer; lit: ‘star-arranger’), from astron (= star), and nomos (= stranger), which is related to nemein (= to deal out, distribute). See אַסְטֵרוֹאִיד and נוֹמָד and cp. the second element in אַסֽטְרוֹנוֹמֽיָה.]"
1696,asymmetria,אֲסִימֶטְרִיָּה,"asymmetry. FW [Gk. asymmetria (= incommensurability), from asymmetros (= incommensurate; disproportionate), from privative pref. a-, and symmetros (= commensurable). See סִימֶטְרִיָּה.]"
776,atomos,אָטוֹם,"atom. FW [Ultimately from Gk. atomos (= atom), properly ‘uncut, indivisible’, from privative pref. a- and tomos, from temnein (= to cut), which derives from IE base *tem-, *tm (= to cut). cp. ‘tome’ in my CEDEL. cp. also the second element in אֲנָטוֹמֽיָה.]"
814,atrophia,אַטְרוֹפְיָה,"atrophy (disease). FW [Gk. atrophia (= want of food), from atrophos (= not nourished, ill-fed), from privative pref. a- and trophe (= food, nourishment), which stands in gradational relationship to trephein (= to make solid, thicken, congeal, curdle; to nourish; lit.: ‘to make thick’), from IE base *dhrebh- (= to make firm, curdle). See ‘draff’ in my CEDEL and cp. ‘trophic’ ibid. cp. also הִיפֶּרְטֽרוֹפֽיָה.]"
1038,aulos,אִירֹוס,name of a musical instrument; perhaps a kind of drum. PBH [Of uncertain origin. According to Dalman it derives from Gk. aulos (= flute).]
433,autarkeia,אוֹטַרְקְיָה,"autarky, self-sufficiency. FW [Gk. autarkeia, from autarkein (= to be self-sufficient), which is compounded of auto- (see אוֹטוֹ□) and arkein (= to suffice), which is related to arkos (= defense), arkios (= safe, sure), and cogn. with L. arcēre (= to enclose, keep away, ward off). These words stand in gradational relationship to Orcus, name of the god of the infernal regions in Roman mythology. cp. קְסַרְקָט.]"
410,auto,"אוֹטוֹ□,  אַבְטוֹ□","(before a vowel אוֹט□, אַבְט□)  FW auto-, resp. aut-. [Gk. auto-, resp. aut-, from autos (= self, same), which is of uncertain origin.]"
416,autodidaktos,"אוֹטוֹדִידַקְט,  אַבְטוֹדִידַקְט","autodidact, one self-taught. FW [From Gk. autodidaktos (= self-taught), from auto- (see אוֹטוֹ□) and didaktos (= taught), verbal adj. of didaskein (= to teach). See דִּידַקְטִיקָה.]"
419,automaton,"אֹוטֹומָט,  אַבְטוֹמָט","automaton. FW [Gk. automaton, neuter of automatos (= acting of one’s own will, happening of itself), compounded of auto- (see אוֹטוֹ□) and IE *mntós (= thinking), from base *men- (= to think), whence also Gk. mentor (= adviser). See ‘mind’ in my CEDEL.]"
422,autonomia,"אוֹטוֹנוֹמְיָה,  אַבְטוֹנוֹמְיָה","autonomy. FW [Gk. autonomia (= independence), from autonomos. See אוֹטוֹנוֹמִי.]"
421,autonomos,"אוֹטוֹנוֹמִי,  אַבְטוֹנוֹמִי","autonomous. FW [Formed with adj. suff. □ִי from Gk. autonomos (= living by one’s own laws), which is compounded of auto- (see אֹוטֹו□) and nomos (= law). See ‘nomo-’ in my CEDEL.]"
2017,axioma,אַקְסְיוֹמָה,"axiom. FW [Gk. axioma (= that which is thought worthy), from axioun (= to think worthy), from axos (= worthy; properly ‘weighty’), from the base of agein (= to lead), used in the sense of ‘to weigh’, which is cogn. with L. agere (= to set in motion, drive, lead). See אַקֽטוּאָלִי.]"
3046,balaneus,בַּלָּן,"bath attendant. PBH [Hebraization of Gk. balaneus (= bathman), from balaneion (= bath), which is of uncertain origin. cp. בַּלְנָרִים.]"
3032,ballein,בַּלִּיסְטִיקָה,"ballistics. FW [From Gk. ballein (= to throw), which stands in gradational relationship to bole, bolos (= a throw), belos (= bolt; arrow, dart); lit.: ‘something thrown’), from IE base *gwel–, whence also Old I. apa-gūrya (= swinging), Avestic ni-jrā’ire (= they are being hurled down). cp. בַּלִּיסֽטִרָה. cp. also בַּל II, בַּלֶּרִינָה, הִיפֶּרְבּוּלָה, טֻרֽבָּל, מֶטַבּוֹלִיזְם, סִימְבּוֹלִי, עִנְבָּל, פָּרַבּוֹלָה, פּֽרוֹבְּלֶמָה, פְּרוֹזְבּוֹל.]"
1915,balsamon,אֲפַרְסְמוֹן,"balsam tree; balm. [According to Löw a blend of Gk. balsamon (see בָּשָׂם) and Aram. אֲפוּרְסְמָא Syr. אֲפוּרְסֶמָא (= balsam tree, balm), which is a loan word from Armenian aprsam.]"
3051,balsamon,"בַּלְסָם,  בַּלְסְמוֹן","balsam. PBH [A loan word from Gk. balsamon (= balsam), which itself is a loan word from Heb. בָּשָׂם (q.v.).]"
3516,balsamon,"בֹּֽשֶׂם,  בָּשָׂם,  בֶּֽשֶׂם","1) balsam tree, Balsamodendron Opolbalsamum. 2) balsam oil. 3) scent, fragrance. [From בשׂם. cp. JAram. בּוּשֽׂמָא, בּוּסְמָא, Syr. בֶּשְׂמָא, Arab. basham (= spice, balsam, perfume). Gk. balsamon (= balsam) — whence L. balsamum — is a loan word from Heb. בָּשָׂם. cp. בֹּסֶם. cp. also בַּלְסָם, בַּלֽסֽמוֹן and אֲפַרְסֽמוֹן.]"
3347,barbaros,בַּרְבָּר,"barbarian. PBH [Gk. barbaros (= non-Greek, foreign, barbarous), from IE base *barb– (= to stammer, stutter, unintelligible).]"
3447,barytonos,בָּרִיטוֹן,"baritone. FW [Gk. barytonos (= heavy-toned, low-toned), compounded of barys (= heavy), and tonos (= tone). See בָּרוֹגְרָף and טוֹן.]"
3130,basilike,בָּסִילִיקָה,"בָּסִילְקִי PBH basilica. FW, [Gk. basilike (lit.: ‘royal colonnade’), f. of basilikos (= kingly, royal), from basileus (= king), which is of uncertain origin. It is perhaps a loan word from a language of Asia Minor; cp. Lydian battos (= king).]"
3134,basis,בָּסִיס,"basis, base, foundation. PBH [Gk. basis (= a stepping, step, pedestal, foot, base), from the stem of baino (= I go), which prob. stands for banio, from bamio, from IE base *gwem (= to go, to come). cp. בִּימָה, cp. also the second element in אַמְבָּט, אַקְרוֹבָּט, דְּיוּבִיט, פְּרוּזְבּוּטֽיָא, אִינֽוֶנֽטָר, קוֹנְבֶנְצְיָה.]"
