Unnamed: 0,Greek Entry,Entry,Definition,ID
1981,Akademeia,אֲקָדֶמְיָה,"academy. FW [L. acadēmia, from Gk. Akademeia, from earlier Ekademeia (= the Academy), a gymnasium near Athens where Plato taught. Akademeia orig. meant ‘the olive grove of Academus’.]",26
25232,akanthos,קוֹצִיץ,"acanthus (botany). NH [Formed from קוֹץ through reduplication of the צ, hence properly loan translation of Gk. akanthos, which is related to akanta (= thorn).]",27
11007,akostikos,□י,"subst. suff. (f. □ִיָּה and □ִית, pl. □ִיִּים, f. □ִיּוֹת). [Related to Arab. - iyy, Aram. □ַי, Ethiop. - y, -ay. It is very prob. that the old Sem. gen. suff. - ī is traceable to this suff.] This suff. is frequently used in NH. It denotes relationship to a people, tribe, place or country, hence forms before all patronymics and gentilics; cp. e.g. עִבְרִי (= Hebrew), יִשְׂרְאֵלִי (= Israelite), אֲרַמִּי (= Aramean), חִתִּי (= Hittite). It also forms ordinal numbers, as in שֵׁנִי (= second), שְׁלִישִׁי (= third), etc. It is also added to names of things to denote connectedness with them; cp. רַגֽלִי (= footman), from רֶגֶל (= foot). Suff. □ִי sometimes appears behind adj. suff. □וֹן, as in קַדְמוֹנִי (= eastern), אַדְמוֹנִי (= reddish). In NH suff. □ִי often represents Gk. - ikos (or its derivatives), L. - icus, Fren. - ique, Eng. - ic. cp. e.g. אֲקוּסְטִי, corresponding to Eng. acoustic, from Fren. acoustique, from Gk. akostikos. cp. adv. suff. □ִית. cp. also suff. □ָתִי and suff. תָּנִי.]",28
1992,akoustikos,אֲקוּסְטִיקָה,"FW [Fren. acoustique, from Gk. akoustikos (= pertaining to hearing), from akoustos (= heard, audible), verbal adj. of akouein (= to hear) which is prob. formed from copul. pref. a- and IE base *(s)qeu-, *(s)qēu- (= to look at, observe, perceive), whence also koein (= to mark, perceive, hear). See ‘hear’ in my CEDEL and cp. ‘acoustic’ ibid.]",29
1991,akoustos,אֲקוּסְטִי,acoustic. FW [Gk. akoustos. See אֲקוּסְטִיקָה and suff. □ִי.],30
2036,akra,אַקְרָה,"fortress, citadel. PBH [A loan word from Gk. akra (= end, point; esp.: the highest point, top of a hill, peak; citadel), properly subst. use of the f. of the adj. akros (= at the end, at the top, outermost), from ake (= edge), which is cogn. with L. ācer (= sharp). See ‘acrid’ in my CEDEL. cp. אַקְרוֹבָּט, אַקְרוֹבָּטִיקָה. cp. also אֲצֶטוֹן.",31
2037,akrobatos,אַקְרוֹבָּט,"acrobat. FW [Fren. acrobate, from Gk. akrobatos (= walking on tiptoe), from akros (= at the end, outermost, highest), and bat (= going), from the stem of bainein (= to go, walk). See בָּסִיס and cp. the second element in אֵירוֹבָּטִיקָה.]",32
2038,akrostichis,אַקְרוֹסְטִיכוֹן,"acrostic. FW [Gk. akrostichis, compounded of akros (= at the end, outermost; see אַקְרָה), and stichos (= row, line, rank, verse), which is related to steichein (= to go; to march in order). These words derive from IE base *stī̆gh– (= to stride, step, walk, climb). cp. the second element in קָדַסְטֶר.]",33
1351,ale,אַמְבּוּלַנְס,"ambulance. FW [Fren. from earlier hôpital ambulant (lit.: ‘a walking hospital’), from L. ambulāns, pres. part. of ambulāre (= to go about, walk), which prob. stands for *amb-alāre, from amb- (= both), and *al- (= to go), whence also Gk. ale (= ceaseless roaming), alasthai, alainein (= to wander about), L. alūcinārī (= to wander in mind). See ‘hallucinate’ in my CEDEL.)",34
9332,alix,חִילָק,"name of a fish, usually identified with the alec. PBH [Prob. from L. halēc, alēc, which is prob. a loan word from Gk. alix (= fish pickle).]",35
203,allagion,אַגְ׳יוֹ,"agio. FW [It. aggio, agio, from lajjë, from Gk. allagion (= exchange), from allage (= change), which derives from the stem of allassein (= to change), from allos (= other). See ‘else’ in my CEDEL. The l in lajjë was mistaken for the It. definitive article and was accordingly dropped.]",36
1149,allegoria,אַלֶּגוֹרְיָה,"allegory. FW [Gk. allegoria (= figurative language), lit.: ‘a speaking about (seemingly) something else’. Compounded of allos (= other) and agoreyein (= to speak in the assembly), from agora (= assembly).]",37
1336,allos,אַלֶּרְגְּיָה,"allergy. FW [Modern L. allergia, coined about 1905 by Clemens von Pirquet, an Austrian pediatrist, from Gk. allos (= another), and ergon (= work). See אַלֶּגוֹרֽיָה and אֶרְג and cp. אֶנֶרְגְּיָה.]",38
1283,almenichiaka,אַלְמָנָךְ,"almanac. MH [Med. L. almanachus, from Gk. almenichiaka (= calendars), which is prob. of Coptic origin; prob. influenced in form by a confusion with Arab. al-manāḥ (= the gift). Sp.-Arab. al-manāḥ (= the almanac) is itself a loan word from Med. L. almanachus.]",39
361,aloe,אָהָל,"1) aloe. 2) an alkalic plant used as a soap. PBH 3) mesembryanthemum (botany). NH [Of uncertain origin. Perhaps borrowed from agaruh, aguruh (= aloewood), which are prob. of Dravidian origin. Gk. aloe (= aloe), is prob. a Heb. loan word. See ‘aloe’ in my CEDEL.]",40
1177,aloe,אַלְוַי,"aloe (plant). PBH [L. aloē, from Gk. aloe, prob. borrowed from Heb. אַֽהָלִים, אֲהָלוֹת, which are perhaps borrowed from Old I. agaruḥ, aguruḥ (= aloewood).]",41
0,Alpha,א,"The first letter of the Hebrew alphabet. The name of the letter is ‘Aleph’, and so called in allusion to its ancient Heb. form, representing the head of an ox (see אֶלֶף II, אַלּוּף VI, and cp. Akka. alpu, Arab. alif, Phoen. אלף, whence Gk. Alpha). In PBH it has the numerical value of one. א alternates with other gutterals, as with ה (see e.g. אָמוֹן, Jer. 52:15, instead of הָמוֹן), and with ע (see e.g. מְתָאֵב, Amos 6:5, instead of מֽתָעֵב). It also alternates with י (see e.g. צְבָאִים and צֽבָיִים, pl. of צְבִי). For the interchangeability of א and ה see also in the conjugational system Heb. הִפֽעִיל and Aram. אַפְעֵל, Heb. הִתֽפַּעֵל and Aram. אִתְפַּעֵל. א is used to form secondary verbs and nouns (see e.g. אבטח, אבחן, אַבְטָחָה, אַבֽחָנָה). In Aram. it also serves as the definite article (see □ָא I) and as the most common subst. and adj. suff. (see □ָא II). ",42
1301,alpha,אַלְפָא,"alpha. PBH [Aram., from Gk. alpha, from Heb. אָלֶף (cp. Syr. אַלֽפָא). The final a was added because a Greek word cannot end with a ph. cp. ‘alpha’ in my CEDEL.]",43
1509,alpha,אַנְאַלְפָבֵּית,"analphabetic. FW [Formed from privative pref. an- and alphabet, from L. alphabētum, compounded of Gk. alpha and beta (names of the first two letters of the Gk. alphabet).]",44
1509,alphabet,אַנְאַלְפָבֵּית,"analphabetic. FW [Formed from privative pref. an- and alphabet, from L. alphabētum, compounded of Gk. alpha and beta (names of the first two letters of the Gk. alphabet).]",45
99,ambix,אַבִּיק,"alembic, retort. NH [Prob. from Gk. ambix (= cup, cup of a still, alembic). Whence also Arab. al-anbiq. Of uncertain origin. See ‘alembic’ in my CEDEL.]",46
1384,amelgein,אֶמוּלְסְיָה,"emulsion. FW [Modern L. ēmulsiō, from L. ēmulsus, p. part. ēmulgēre (= to milk out, drain out), from ē (= out of), and mulgēre (= to milk; which derives from IE base *melĝ- (= to press out, wipe of milk), whence also Gk. amelgein (= to milk), etc. For the ending see suff. □יָה.]",47
1413,amiantos,אַמְיַנְטוֹן,"name of a kind of asbestos. PBH [Gk. amiantos (lithos), lit.: ‘undefiled (stone)’, from privative pref. a- and miatos (= stained, defiled), verbal adj. of mianein (= to stain, defile), which derives from IE base *mei-, *mai- (= to stain, defile). See ‘miasma’ in my CEDEL.]",48
1420,ammi,אַמִּיתָה,"Ammi (botany). PBH [Aram. אַמִּיתָא — whence Gk. ammi, whence L. ammi — a secondary form of חַמִּיתָא.]",49
1387,Ammon,אָמוֹן,"‘Amon’ — name of the ancient Egyptian sun god, orig. the local god of Thebes. [Egypt. Amūn, whence also Akka. Amūnu, Gk. Ammon (identified by the Greeks with Zeus). cp. אַמּוֹנִיט.]",50
1393,ammoniakon,אַמּוֹנְיָק,"ammoniac. FW [L. ammōniacum, from Gk. ammoniakon (= a resinous gum), prob. from orig. Armeniakon (= Armenian), through the intermediate form armoniakon, occurring in the works of ancient authors beside ammoniakon; so called because first found in Armenia.]",51
1449,amnesia,אַמְנֶסְיָה,"amnesia (psychiatry). FW [Medical L. amnēsia, from Gk. amnesia (= forgetfulness), from privative pref. a- and mnesios (= pertaining to memory), which is related to mnaomai (= I remember). See אַמְנֶסֽטְיָה.]",52
1448,amnestia,אַמְנֶסְטְיָה,"amnesty. FW [L. amnēstia, Gk. amnestia (= forgetfulness), from privative pref. a- and mnestis (= remembrance), which is related to mnaomai (= I remember), from IE base *men- (= to think, remember). See privative pref. ‘a-’ and ‘mind’ in my CEDEL, and cp. אַמְנֶסֽיָה.]",53
1349,amoibe,אֲמֶבָּה,"amoeba. FW [Gk. amoibe (= change), related to ameibein (= to change), from copulative, pref. a- and IE base *meigw-, *migw- (= to change), whenœ also L. migrāre (= to wander). Copulative pref. a- stands for IE *sm-, a weak gradational form of IE base *sem- (= one, together). See ‘same’ and ‘migrate’ in my CEDEL.]",54
9453,amoibe,חִלּוּפִית,"amoeba. NH [Formed from חלף I (= to change), a loan translation of Gk. amoibe (change). See ‘amoeba’ in my CEDEL.]",55
25772,amomon,קִנָּמוֹן,"cinnamon. [A word of foreign origin. Gk. kinnamonon is a Heb. loan word. The Greek word has been altered from orig. kinnamonon, prob. under the influence of Gk. amomon, a spice plant.]",56
9658,amonon,חֲמָם,"Amomum (a genus of plants). PBH [Together with Syr. חֲמַאֽמָא, Arab. ḥamāma (= a spice plant), prob. derived from חמם (= to be warm). Gk. amonon (= a spice plant), whence L. amōmum (of s.m.) is of Sem. origin.]",57
1404,amorphos,אֲמוֹרְפִי,"amorphous. FW [Formed with suff. □ִי from Gk. amorphos (= without form, shapeless, deformed) from privative pref. a- and morphe (= form, shape), which is of uncertain origin.]",58
1455,amphibios,אַמְפִיבִּי,"amphibian, amphibious. FW [Back formation from Gk. amphibios (= living a double life; i.e. ‘on land and in water’), from amphi (= around, round, about), and bios (= life).]",59
1456,amphibrachus,אַמְפִיבְּרָכוּס,"amphibrach (prosody). FW [Gk. amphibrachus (= short at both ends), from amphi (see אַמֽפִיבִּי) and brachus (= short).]",60
1458,amphitheatron,אַמְפִיתֵיאַטְרוֹן,", amphitheater. FW [L. amphitheātrum, from Gk. amphitheatron (lit. meaning ‘having seats for spectators all round’, from amphi (see אַמְפִיבִּי) and theatron (= theater). See תֵּיאַטֽרוֹן.]",61
1454,amphoreus,אַמְפוֹרָה,"amphora. FW [L. amphora (= a vessel with two handles or ears, a pitcher), from Gk. amphoreus (of s.m.), which is contracted from amphiphoreus (lit.: ‘two-handled’), from amphi (see אַמְפִיבִּי) and phoreus (= bearer, carrier), from pherein (= to bear). See אֲנָפוֹרָה.]",62
21509,amylon,עֲמִילָן,"starch. PBH [From Gk. amylon (= fine meal, starch), properly neuter of the adjective amylos (= not ground at the mill), from privative pref. a– and myle (= mill). See privative pref. ‘a-’ and ‘mill’ in my CEDEL.]",63
1505,ana,אָנָ□,"(before a vowel אָנ□) ana-, resp. an-. FW [Gk. ana-, resp. an- (= up to, upward, up, toward; exceedingly; back, backward; against), from ana (= up, on, upon; throughout; again), which is related to ano (= above), from IE base *anō- (= on, upon, above). cp. ‘on’, an ‘a’ (on) in my CEDEL.]",64
1611,anachronismos,אֲנַכְרוֹנִיזְם,"anachronism. FW [Ultimately from Gk. anachronismos (= anachronism), from anachronizein (= to refer to a wrong time), from ana (= up to, against), and chronos (= time). See כְּרוֹנִי and □ִיזְם.]",65
1520,anagrammatismos,אֲנַגְרָמָּה,"anagram. FW [Modern L. anagramma, from Gk. anagrammatismos (= a transposition of letters), from anagrammatizein (= to transpose the letters of a word), which is formed from ana (= back), and gramma (= written character, letter). See גּֽרַם.]",66
1618,anaimia,אֲנֶמְיָה,"anemia, anaemia (disease). FW [Gk. anaimia (= want of blood, bloodlessness), from privative pref. an- and aima (= blood). cp. the first element in הֶמוֹגְלוֹבִּין.]",67
1626,anaisthesia,אַנֶסְתֶּסְיָה,"anesthesis. FW [Gk. anaisthesia (= lack of sensation), from anaisthetein (= to be without sense of something, lack sensation), from privative pref. an- and aisthetos (= sensible, perceptible). See אֶסְתֶּטִי and suff. □יָה.]",68
19387,anaklita,נַקְלִיט,"bed pole. PBH [From Gk. anaklita (= things leaned), neuter pl. of anaklitos, p. part. of anaklinein (= to make to lie back, to lean one thing against another), from ala (= up, on, upon), and klinein (= to cause to slope, slant, incline). See קְלִינִי.]",69
1612,analogia,אֲנָלוֹגְיָה,"analogy. FW [Fren. analogie, from L. analogia, from Gk. analogia (= proportion, analogy), from analogos (= according to a due proportion, proportionate), from ana (= up to) and logos (= word, speech, reckoning, proportion). See לִגֽיוֹן and suff. □יָה.]",70
1613,analysis,אֲנָלִיזָה,"analysis. FW [Gk. analysis(= a loosing, releasing), from analyein (= to unloose, release, set free), from ana (= up to, on, throughout), and lyein (= to unfasten, loosen, slacken), which is cogn. with Old I. lunā́ti, lunṓti (= cuts, cuts off), L. luere (= to loose, release; to atone for, expiate). See ‘lose’ in my CEDEL and cp. ‘lysis’ ibid. cp. also אֲנָלִיטִי.]",71
1614,analyticos,אֲנָלִיטִי,"analytic, analytical. FW [Modern L. analyticus, from Gk. analyticos (= analytic), from analysis. See אֲנָלִיזָה and suff. □ִי.]",72
1636,anapaistos,אֲנַפֶּסְט,"anapaest — a metrical foot consisting of two short syllables followed by a long one, a reversed dactyl (prosody). FW [L. anapaestus, from Gk. anapaistos (= struck back, rebounding), verbal adj. of anapaiein (= to strike back), from ana (= up to; back), and paiein (= to strike) which is cogn. with L. pavīre (= to beat, ram, tread down). See ‘pave’ in my CEDEL.]",73
1631,anaphora,אֲנָפוֹרָה,"anaphora — repetition of the same word in successive clauses (rhetorics). FW [Gk. anaphora (= a carrying back), from anapherein (= to carry back), from ana (= up to; back, backward), and pherein (= to bear, carry), which together with phor (= thief) derives from IE base *bher- (= to bear, carry). See אַשְׁבֹּרֶן. cp. פוּרוּנְקוּל, פּוּרְיָא, the first element in בֶּרוֹנִיקָה, and the second element in מֶטָפוֹרָה, סֶמָפוֹר, פוֹסְפוֹר, פֶּרִיפֶרְיָה, פרן, קָטַפְרֵס, תֵּיאוֹפוֹרִי. cp. also דִּיפֶרֶנֽצְיָאל and בָּרוֹן.]",74
1650,anarchia,אֲנַרְכְיָה,"anarchy. FW [Fren. anarchic, from Gk. anarchia (= lack of a leader, state of being without any leader), from anarchos (= without chief), from privative pref. an and archos (= leader, chief, ruler). See אַרְכִי.]",75
1565,anatomia,אֲנָטוֹמְיָה,"anatomy. [Ultimately from Gk. anatomia, anatome (= dissection), which is related to anatemein (= to cut up), from ana (= up, on, upon), and temein (= to cut). See אָטוֹם and suff. □יָה.]",76
1528,andrias,"אַנְדַּרְטָא,  אַנְדַּרְטָה","resp. NH f.n. statue, image, bust. PBH, [Gk. andrias, gen. andriatos (= the image of a man, statue), from aner, gen. andros (= man), which is cogn. with Old I. náram (= man), na’ryaḥ (= virile). cp. דֶּנֽדִּי and the first element in אַנְדּֽרוֹלוֹמוּסְיָא, אַנְדּֽרוֹמֶדָה and in אַנְתּֽרוֹפּוֹלוֹגֽיָה.]",77
1525,androgynos,אַנְדְּרוֹגִינוֹס,"hermaphrodite. NH [Gk. androgynos (= man-woman, hermaphrodite), from anes, gen. andros (= man), and gyne (= woman). See ‘androgynous’ and ‘gynandrous’ in my CEDEL.]",78
1526,androlempsia,"אַנְדְּרוֹלוֹמוּסְיָא,  אַנְדְּרוֹלוֹמוּסְיָה","1) pestilence. PBH 2) confusion, chaos. NH [Gk. androlempsia, for androlepsia (= seizure of men in reprisal of the murder of a citizen abroad), compounded of aner, gen. andros (= man), and the stem of lambanein (= to take). See ‘andro’ and ‘lemma’ in my CEDEL.]",79
1527,Andromeda,אֵנְדְּרוֹמֶדָה,"Andromeda (astronomy). FW [From Gk. Andromeda, daughter of Cepheus and Cassiopeia in Greek mythology, who was placed as a constellation in heaven. Lit. meaning ‘mindful of her husband’; compounded of aner, gen. andros (= man), and medesthai (= to be mindful of, give heed to, think of), which is related to medon, medeon (= guardian, ruler), properly pres. part. of the ancient verb medein (= to protect, rule over). See ‘meditate’ in my CEDEL.]",80
8734,andros,זַקְנָן,"Andropogon (botany). NH [Formed from זָקָן (= beard) with suff. □ָן. Prob. a loan translation of the scientific name Andropogon, which was formed from Gk. andros (= man) and pogon (= beard).]",81
19142,anemone,נַעֲמָן,"pleasantness (a hapax legomenon in the Bible, occurring Is. 17:10 in the pl. in the phrase נִטְעֵי נַעֲמָנִים, ‘plants of pleasantness’). [Formed from נעם I with adj. suff. □ָן. Gk. anemone (= the wind flower), prob. derives from נַעֲמָן. See ‘anemone’ in my CEDEL. cp. proper name נַעֲמָן.]",82
1615,anemos,אֲנֶמוֹגְרָף,"anemograph. FW [Compounded of Gk. anemos (= wind) — which is cogn. with L. anima (= breath of air, air, breath, soul, life), animus (= soul, spirit, mind, courage, wish, desire) — and graphos, from graphein (= to write). See אֲנִימִיזְם and □גֽרָף.]",83
1616,anemos,אֲנֶמוֹמֶטֶר,"anemometer. FW [Compounded of Gk. anemos (= wind), and metron (= measure). See אֲנֶמוֹגְרָף and מֶטֶר.]",84
21014,ankos,עְֹגֶן,"anchor. NH [From Talmudic הוֹגִין, עוֹגִין, which is prob. borrowed from Gk. onkinos (= hook), from onkos (of s.m.), which stands in gradational relationship to Gk. ankos (= a bend, hollow), ankon (= bend of the arm, elbow), ankulos (= crooked, curved), ankula (= anchor). See אוּנְקָל.",85
512,ankyle,"אוּנְקָל,  אוּנְקְלִי","hook. PBH [A loan word from Gk. ankyle (= bend of the arm, hook), which is related to ankylos (= crooked, curved), ankol (= elbow), and cogn. with L. ancus (= crooked, curved), angulus (= angle, corner). See ‘angle’ (corner), and ‘angle’ (fishhook) in my CEDEL.]",86
1537,anodos,אָנוֹד,"anode (electricity). FW [Eng. anode, from Gk. anodos = way up), from ana (= up to) and odos (= way), for whose etymology see מֶתּוֹדָה. The term anode was introduced into electricity by the English physicist and chemist Michael Faraday (1791–1867). cp. קָתוֹד, אֵלֶקְטְרוֹד, סִינוֹד.]",87
1540,anomalia,אֲנוֹמַלְיָה,"anomaly. FW [L. anōmalia, from Gk. anomalia (= inequality), from anomalos (= unequal). See אֲנוֹמָלִי and suff. □יָה.]",88
1539,anomalos,אֲנוֹמָלִי,"anomalous. [Formed with adj. suff. □ִי from Gk. anomalos (= unequal), which is formed from privative pref. an and omalos (= even), from omos (= one and the same), which derives from IE base *sem- (= one, together). See ‘same’ in my CEDEL and cp. ‘anomalous’ ibid. cp. אֲנוֹרְמָלִי.]",89
1544,anonymos,אֲנוֹנִימִי,"anonymous. FW [Formed with suff. □ִי from L. anōnymus, from Gk. anonymos (= without a name), from privative pref. an and onyma, dialectal form of onoma (= name). See נוֹמִינָלִי.]",90
1549,anopheles,אֲנוֹפֶלֶס,"Anopheles (a genus of mosquitoes). FW [Modern L., from Gk. anopheles (= useless, hurtful, harmful), from privative pref. an and ophelos (= use, help, advantage), whence opsellein (= to increase, enlarge), ophelma (= advantage), which derives from IE base *phel- (= to swell).]",91
1562,antagonisma,אַנְטָגוֹנִיזְם,"antagonism. FW [Gk. antagonisma, from antagonizesthai (= to struggle against), from anti (see אַנְטִי□) and agonizesthai (= to struggle), from agon (= assembly; contest in the games), from agein (= to lead, guide), which is cogn. with L. agere (= to set in motion, drive, lead). See ‘agent’ (adj.) in my CEDEL. For the ending see suff. □ִיזֽם.]",92
1586,Antares,אַנְטָרֶס,"Antares (astronomy). FW [Gk. Antares, lit.: ‘opposite (the planet) Mars’, from anti (= opposite); (see אַנְטִי□), and Ares (= Mars), which derives from are (= bane, ruin). This word is related to arein (= a cursing, menacing).]",93
20470,anthereon,סַנְטֵר,"jaw, jawbone. PBH [Of uncertain origin; possibly derived from Gk. anthereon (= chin).]",94
1659,anthologia,אַנְתּוֹלוֹגְיָה,"anthology. FW [Gk. anthologia (= a flower gathering), from anthologos (= gathering flowers), which is formed from anthos (= flower), and legein (= to gather). See אַנְטִילוֹפָּה, לִגְיוֹן and suff. □יָה.]",95
